

 ******************************** Dynamic Model *********************************
  F10.7 = 100.00, Fbar = 100.00, Kp = 5.0, Right ascension (deg) =    .00
, Greenwich Sideral Time (rad) =    5.122 Altitude (km) = 600.00
, Modified Julian Date = 22476., UTC (s) =      .000

                                 Latitude (deg) 
 SunRA     -60            -30              0             30             60
  deg mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
 -180  11.04 -13.323  10.29 -13.435  10.04 -13.469  10.29 -13.435  11.04 -13.323
 -175  11.01 -13.328  10.23 -13.443   9.97 -13.479  10.23 -13.443  11.01 -13.328
 -170  10.98 -13.331  10.18 -13.450   9.91 -13.487  10.18 -13.450  10.98 -13.331
 -165  10.96 -13.334  10.14 -13.455   9.87 -13.493  10.14 -13.455  10.96 -13.334
 -160  10.95 -13.336  10.12 -13.459   9.84 -13.497  10.12 -13.459  10.95 -13.336
 -155  10.94 -13.338  10.10 -13.461   9.82 -13.500  10.10 -13.461  10.94 -13.338
 -150  10.94 -13.339  10.09 -13.463   9.81 -13.502  10.09 -13.463  10.94 -13.339
 -145  10.93 -13.339  10.08 -13.463   9.80 -13.503  10.08 -13.463  10.93 -13.339
 -140  10.93 -13.339  10.08 -13.463   9.80 -13.503  10.08 -13.463  10.93 -13.339
 -135  10.93 -13.339  10.08 -13.463   9.80 -13.503  10.08 -13.463  10.93 -13.339
 -130  10.93 -13.339  10.08 -13.463   9.80 -13.503  10.08 -13.463  10.93 -13.339
 -125  10.94 -13.339  10.09 -13.463   9.80 -13.502  10.09 -13.463  10.94 -13.339
 -120  10.94 -13.338  10.10 -13.461   9.82 -13.500  10.10 -13.461  10.94 -13.338
 -115  10.95 -13.336  10.12 -13.459   9.84 -13.497  10.12 -13.459  10.95 -13.336
 -110  10.97 -13.334  10.15 -13.454   9.87 -13.492  10.15 -13.454  10.97 -13.334
 -105  10.99 -13.331  10.19 -13.449   9.92 -13.486  10.19 -13.449  10.99 -13.331
 -100  11.02 -13.326  10.24 -13.440   9.99 -13.476  10.24 -13.440  11.02 -13.326
  -95  11.05 -13.321  10.32 -13.430  10.08 -13.464  10.32 -13.430  11.05 -13.321
  -90  11.10 -13.313  10.41 -13.417  10.18 -13.449  10.41 -13.417  11.10 -13.313
  -85  11.16 -13.305  10.51 -13.402  10.31 -13.431  10.51 -13.402  11.16 -13.305
  -80  11.22 -13.294  10.64 -13.383  10.46 -13.410  10.64 -13.383  11.22 -13.294
  -75  11.29 -13.283  10.78 -13.362  10.62 -13.386  10.78 -13.362  11.29 -13.283
  -70  11.38 -13.269  10.93 -13.339  10.80 -13.359  10.93 -13.339  11.38 -13.269
  -65  11.47 -13.255  11.10 -13.313  11.00 -13.329  11.10 -13.313  11.47 -13.255
  -60  11.56 -13.239  11.28 -13.285  11.20 -13.297  11.28 -13.285  11.56 -13.239
  -55  11.67 -13.222  11.46 -13.256  11.42 -13.263  11.46 -13.256  11.67 -13.222
  -50  11.77 -13.204  11.65 -13.225  11.63 -13.228  11.65 -13.225  11.77 -13.204
  -45  11.88 -13.186  11.84 -13.193  11.84 -13.191  11.84 -13.193  11.88 -13.186
  -40  11.99 -13.167  12.02 -13.161  12.05 -13.155  12.02 -13.161  11.99 -13.167
  -35  12.09 -13.148  12.20 -13.129  12.25 -13.118  12.20 -13.129  12.09 -13.148
  -30  12.19 -13.129  12.37 -13.097  12.44 -13.082  12.37 -13.097  12.19 -13.129
  -25  12.29 -13.111  12.53 -13.067  12.62 -13.048  12.53 -13.067  12.29 -13.111
  -20  12.39 -13.094  12.67 -13.037  12.78 -13.015  12.67 -13.037  12.39 -13.094
  -15  12.47 -13.077  12.81 -13.010  12.93 -12.984  12.81 -13.010  12.47 -13.077
  -10  12.55 -13.062  12.93 -12.985  13.06 -12.956  12.93 -12.985  12.55 -13.062
   -5  12.62 -13.048  13.04 -12.962  13.18 -12.930  13.04 -12.962  12.62 -13.048
    0  12.69 -13.035  13.13 -12.942  13.28 -12.908  13.13 -12.942  12.69 -13.035
    5  12.74 -13.024  13.20 -12.924  13.36 -12.888  13.20 -12.924  12.74 -13.024
   10  12.78 -13.015  13.27 -12.910  13.43 -12.872  13.27 -12.910  12.78 -13.015
   15  12.82 -13.008  13.32 -12.898  13.48 -12.859  13.32 -12.898  12.82 -13.008
   20  12.84 -13.003  13.35 -12.890  13.52 -12.850  13.35 -12.890  12.84 -13.003
   25  12.86 -13.000  13.37 -12.885  13.54 -12.844  13.37 -12.885  12.86 -13.000
   30  12.87 -12.998  13.38 -12.882  13.55 -12.842  13.38 -12.882  12.87 -12.998
   35  12.86 -12.999  13.38 -12.883  13.55 -12.842  13.38 -12.883  12.86 -12.999
   40  12.85 -13.001  13.37 -12.887  13.53 -12.847  13.37 -12.887  12.85 -13.001
   45  12.83 -13.005  13.34 -12.893  13.50 -12.854  13.34 -12.893  12.83 -13.005
   50  12.80 -13.011  13.30 -12.903  13.46 -12.864  13.30 -12.903  12.80 -13.011
   55  12.77 -13.018  13.25 -12.914  13.41 -12.877  13.25 -12.914  12.77 -13.018
   60  12.73 -13.027  13.19 -12.928  13.34 -12.893  13.19 -12.928  12.73 -13.027
   65  12.68 -13.037  13.11 -12.945  13.26 -12.911  13.11 -12.945  12.68 -13.037
   70  12.62 -13.048  13.03 -12.963  13.17 -12.931  13.03 -12.963  12.62 -13.048
   75  12.56 -13.060  12.94 -12.983  13.07 -12.954  12.94 -12.983  12.56 -13.060
   80  12.49 -13.074  12.84 -13.005  12.96 -12.978  12.84 -13.005  12.49 -13.074
   85  12.42 -13.088  12.72 -13.028  12.84 -13.004  12.72 -13.028  12.42 -13.088
   90  12.34 -13.102  12.60 -13.052  12.71 -13.031  12.60 -13.052  12.34 -13.102
   95  12.26 -13.117  12.47 -13.077  12.56 -13.059  12.47 -13.077  12.26 -13.117
  100  12.18 -13.133  12.34 -13.102  12.41 -13.089  12.34 -13.102  12.18 -13.133
  105  12.09 -13.148  12.20 -13.129  12.25 -13.118  12.20 -13.129  12.09 -13.148
  110  12.00 -13.164  12.05 -13.155  12.09 -13.148  12.05 -13.155  12.00 -13.164
  115  11.92 -13.179  11.90 -13.181  11.92 -13.178  11.90 -13.181  11.92 -13.179
  120  11.83 -13.194  11.75 -13.208  11.75 -13.208  11.75 -13.208  11.83 -13.194
  125  11.74 -13.209  11.60 -13.233  11.57 -13.238  11.60 -13.233  11.74 -13.209
  130  11.66 -13.223  11.45 -13.258  11.40 -13.266  11.45 -13.258  11.66 -13.223
  135  11.57 -13.237  11.30 -13.282  11.22 -13.294  11.30 -13.282  11.57 -13.237
  140  11.49 -13.250  11.15 -13.305  11.06 -13.320  11.15 -13.305  11.49 -13.250
  145  11.42 -13.263  11.01 -13.327  10.89 -13.345  11.01 -13.327  11.42 -13.263
  150  11.35 -13.274  10.88 -13.347  10.74 -13.369  10.88 -13.347  11.35 -13.274
  155  11.28 -13.285  10.75 -13.366  10.59 -13.390  10.75 -13.366  11.28 -13.285
  160  11.22 -13.294  10.64 -13.383  10.45 -13.410  10.64 -13.383  11.22 -13.294
  165  11.17 -13.303  10.53 -13.399  10.33 -13.428  10.53 -13.399  11.17 -13.303
  170  11.12 -13.311  10.44 -13.413  10.22 -13.444  10.44 -13.413  11.12 -13.311
  175  11.07 -13.317  10.36 -13.424  10.12 -13.458  10.36 -13.424  11.07 -13.317
  180  11.04 -13.323  10.29 -13.435  10.04 -13.469  10.29 -13.435  11.04 -13.323
