 ******************************** Static Profile ********************************
                             Exospheric Temperature

  alt           500K           700K          1000K          1500K          2400K
 (km) mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
   90  28.83  -5.461  28.83  -5.461  28.83  -5.461  28.83  -5.461  28.83  -5.461
  100  27.64  -6.254  27.64  -6.256  27.64  -6.259  27.64  -6.262  27.64  -6.265
  110  26.47  -7.001  26.52  -7.002  26.56  -7.003  26.60  -7.004  26.64  -7.006
  120  25.10  -7.648  25.29  -7.629  25.45  -7.613  25.60  -7.599  25.74  -7.585
  130  23.74  -8.168  24.15  -8.115  24.48  -8.072  24.75  -8.036  25.02  -8.001
  140  22.51  -8.573  23.14  -8.485  23.64  -8.416  24.05  -8.359  24.43  -8.306
  150  21.39  -8.903  22.24  -8.778  22.91  -8.685  23.44  -8.612  23.93  -8.543
  160  20.40  -9.186  21.43  -9.024  22.25  -8.906  22.91  -8.818  23.50  -8.737
  170  19.53  -9.440  20.70  -9.240  21.65  -9.096  22.43  -8.991  23.11  -8.900
  180  18.78  -9.672  20.03  -9.435  21.10  -9.264  21.99  -9.142  22.77  -9.041
  190  18.15  -9.887  19.44  -9.614  20.59  -9.416  21.59  -9.276  22.46  -9.165
  200  17.62 -10.090  18.92  -9.782  20.13  -9.556  21.21  -9.396  22.18  -9.274
  210  17.18 -10.282  18.46  -9.939  19.70  -9.687  20.86  -9.507  21.91  -9.372
  220  16.79 -10.465  18.05 -10.089  19.31  -9.810  20.54  -9.608  21.67  -9.461
  230  16.44 -10.642  17.71 -10.232  18.95  -9.926  20.23  -9.703  21.43  -9.541
  240  16.12 -10.813  17.41 -10.368  18.62 -10.036  19.94  -9.793  21.22  -9.616
  250  15.79 -10.980  17.15 -10.500  18.33 -10.142  19.67  -9.877  21.01  -9.684
  260  15.43 -11.142  16.92 -10.628  18.06 -10.244  19.42  -9.957  20.81  -9.748
  270  15.03 -11.302  16.72 -10.752  17.81 -10.342  19.18 -10.034  20.62  -9.808
  280  14.55 -11.458  16.54 -10.873  17.59 -10.437  18.95 -10.108  20.43  -9.865
  290  13.98 -11.612  16.38 -10.992  17.39 -10.529  18.74 -10.179  20.26  -9.920
  300  13.30 -11.764  16.24 -11.108  17.21 -10.619  18.54 -10.248  20.09  -9.971
  310  12.49 -11.913  16.10 -11.222  17.05 -10.707  18.35 -10.315  19.92 -10.021
  320  11.57 -12.060  15.96 -11.335  16.90 -10.793  18.17 -10.380  19.76 -10.069
  330  10.55 -12.204  15.83 -11.446  16.76 -10.877  18.00 -10.444  19.61 -10.116
  340   9.45 -12.345  15.68 -11.555  16.63 -10.960  17.85 -10.506  19.46 -10.162
  350   8.33 -12.483  15.53 -11.664  16.52 -11.041  17.70 -10.567  19.32 -10.206
  360   7.24 -12.616  15.37 -11.771  16.41 -11.122  17.56 -10.627  19.18 -10.249
  370   6.21 -12.745  15.19 -11.877  16.31 -11.201  17.43 -10.686  19.04 -10.291
  380   5.29 -12.867  14.99 -11.982  16.21 -11.279  17.31 -10.743  18.91 -10.333
  390   4.49 -12.983  14.76 -12.087  16.11 -11.356  17.19 -10.800  18.79 -10.374
  400   3.82 -13.092  14.50 -12.190  16.02 -11.433  17.09 -10.856  18.67 -10.414
  410   3.26 -13.192  14.22 -12.292  15.93 -11.508  16.98 -10.911  18.55 -10.453
  420   2.82 -13.282  13.89 -12.393  15.84 -11.583  16.89 -10.966  18.44 -10.492
  430   2.47 -13.364  13.53 -12.493  15.74 -11.657  16.80 -11.019  18.33 -10.530
  440   2.20 -13.436  13.13 -12.592  15.65 -11.731  16.71 -11.073  18.22 -10.568
  450   1.98 -13.500  12.69 -12.690  15.54 -11.804  16.63 -11.125  18.12 -10.605
  460   1.82 -13.555  12.21 -12.786  15.44 -11.877  16.55 -11.177  18.02 -10.642
  470   1.69 -13.603  11.70 -12.881  15.33 -11.949  16.47 -11.229  17.92 -10.679
  480   1.58 -13.644  11.16 -12.974  15.21 -12.020  16.40 -11.280  17.83 -10.715
  490   1.50 -13.680  10.59 -13.066  15.08 -12.091  16.33 -11.330  17.74 -10.750
  500   1.44 -13.712  10.02 -13.155  14.94 -12.162  16.26 -11.380  17.66 -10.785
  510   1.39 -13.740   9.44 -13.242  14.79 -12.232  16.20 -11.430  17.57 -10.820
  520   1.35 -13.765   8.86 -13.327  14.63 -12.301  16.13 -11.479  17.50 -10.855
  530   1.32 -13.787   8.29 -13.410  14.46 -12.370  16.07 -11.528  17.42 -10.889
  540   1.29 -13.808   7.75 -13.489  14.27 -12.438  16.01 -11.577  17.34 -10.922
  550   1.27 -13.827   7.23 -13.566  14.07 -12.506  15.94 -11.625  17.27 -10.956
  560   1.25 -13.845   6.75 -13.639  13.86 -12.574  15.88 -11.673  17.20 -10.989
  570   1.23 -13.862   6.30 -13.709  13.63 -12.641  15.82 -11.720  17.14 -11.022
  580   1.21 -13.878   5.89 -13.776  13.38 -12.707  15.76 -11.768  17.07 -11.054
  590   1.20 -13.893   5.52 -13.839  13.12 -12.772  15.69 -11.815  17.01 -11.087
  600   1.19 -13.908   5.19 -13.899  12.85 -12.837  15.62 -11.861  16.95 -11.119
  610   1.18 -13.922   4.89 -13.956  12.56 -12.902  15.56 -11.908  16.89 -11.151
  620   1.17 -13.936   4.62 -14.009  12.26 -12.965  15.49 -11.954  16.84 -11.182
  630   1.16 -13.949   4.39 -14.059  11.94 -13.028  15.42 -12.000  16.78 -11.214
  640   1.15 -13.962   4.18 -14.105  11.62 -13.090  15.34 -12.045  16.73 -11.245
  650   1.14 -13.975   4.00 -14.149  11.28 -13.151  15.27 -12.091  16.68 -11.275
  660   1.13 -13.987   3.84 -14.191  10.94 -13.211  15.19 -12.136  16.63 -11.306
  670   1.13 -13.999   3.70 -14.230  10.59 -13.270  15.10 -12.181  16.58 -11.337
  680   1.12 -14.011   3.58 -14.266  10.24 -13.329  15.02 -12.225  16.53 -11.367
  690   1.11 -14.023   3.47 -14.301   9.89 -13.386  14.93 -12.270  16.48 -11.397
  700   1.11 -14.035   3.37 -14.334   9.54 -13.442  14.83 -12.314  16.44 -11.427
  710   1.10 -14.046   3.28 -14.365   9.19 -13.497  14.73 -12.358  16.39 -11.456
  720   1.10 -14.057   3.20 -14.394   8.86 -13.551  14.63 -12.401  16.35 -11.486
  730   1.09 -14.068   3.13 -14.423   8.52 -13.603  14.52 -12.445  16.31 -11.515
  740   1.09 -14.079   3.07 -14.450   8.20 -13.654  14.41 -12.488  16.26 -11.544
  750   1.08 -14.089   3.01 -14.476   7.89 -13.704  14.29 -12.531  16.22 -11.573
  760   1.08 -14.100   2.95 -14.502   7.59 -13.752  14.16 -12.573  16.18 -11.602
  770   1.07 -14.110   2.90 -14.526   7.31 -13.799  14.04 -12.616  16.14 -11.631
  780   1.07 -14.120   2.86 -14.550   7.04 -13.845  13.90 -12.658  16.10 -11.659
  790   1.07 -14.130   2.81 -14.573   6.79 -13.889  13.76 -12.700  16.06 -11.687
  800   1.06 -14.140   2.77 -14.596   6.55 -13.932  13.61 -12.741  16.02 -11.716
  810   1.06 -14.150   2.73 -14.618   6.32 -13.973  13.46 -12.783  15.98 -11.744
  820   1.06 -14.160   2.69 -14.640   6.11 -14.012  13.31 -12.824  15.94 -11.771
  830   1.06 -14.169   2.66 -14.661   5.92 -14.051  13.14 -12.865  15.90 -11.799
  840   1.05 -14.179   2.62 -14.682   5.74 -14.087  12.97 -12.905  15.87 -11.827
  850   1.05 -14.188   2.58 -14.703   5.57 -14.123  12.80 -12.945  15.83 -11.854
  860   1.05 -14.198   2.55 -14.723   5.42 -14.157  12.62 -12.985  15.79 -11.882
  870   1.05 -14.207   2.52 -14.743   5.28 -14.189  12.44 -13.025  15.75 -11.909
  880   1.04 -14.216   2.49 -14.763   5.15 -14.221  12.25 -13.064  15.71 -11.936
  890   1.04 -14.225   2.45 -14.782   5.03 -14.251  12.06 -13.103  15.67 -11.963
  900   1.04 -14.234   2.42 -14.802   4.92 -14.280  11.86 -13.141  15.63 -11.990
  910   1.04 -14.243   2.39 -14.821   4.82 -14.308  11.66 -13.180  15.59 -12.016
  920   1.04 -14.252   2.36 -14.840   4.73 -14.335  11.45 -13.217  15.54 -12.043
  930   1.04 -14.260   2.33 -14.858   4.65 -14.361  11.25 -13.255  15.50 -12.069
  940   1.03 -14.269   2.30 -14.877   4.57 -14.386  11.04 -13.292  15.46 -12.096
  950   1.03 -14.278   2.27 -14.895   4.50 -14.410  10.83 -13.329  15.42 -12.122
  960   1.03 -14.286   2.25 -14.913   4.44 -14.434  10.61 -13.365  15.37 -12.148
  970   1.03 -14.295   2.22 -14.931   4.39 -14.456  10.40 -13.401  15.33 -12.174
  980   1.03 -14.303   2.19 -14.948   4.33 -14.478  10.19 -13.436  15.28 -12.200
  990   1.03 -14.312   2.16 -14.966   4.29 -14.499   9.97 -13.471  15.23 -12.226
 1000   1.03 -14.320   2.13 -14.983   4.24 -14.520   9.76 -13.506  15.19 -12.251
 1010   1.03 -14.328   2.11 -15.000   4.21 -14.540   9.55 -13.540  15.14 -12.277
 1020   1.03 -14.336   2.08 -15.017   4.17 -14.560   9.34 -13.574  15.09 -12.302
 1030   1.02 -14.345   2.06 -15.033   4.14 -14.579   9.13 -13.607  15.04 -12.328
 1040   1.02 -14.353   2.03 -15.050   4.11 -14.598   8.93 -13.639  14.99 -12.353
 1050   1.02 -14.361   2.01 -15.066   4.08 -14.616   8.73 -13.672  14.93 -12.378
 1060   1.02 -14.369   1.98 -15.082   4.06 -14.634   8.53 -13.703  14.88 -12.403
 1070   1.02 -14.377   1.96 -15.098   4.03 -14.652   8.33 -13.734  14.82 -12.428
 1080   1.02 -14.385   1.93 -15.114   4.01 -14.669   8.14 -13.765  14.77 -12.453
 1090   1.02 -14.393   1.91 -15.129   3.99 -14.686   7.96 -13.795  14.71 -12.477
 1100   1.02 -14.400   1.89 -15.145   3.98 -14.703   7.78 -13.824  14.65 -12.502
 1110   1.02 -14.408   1.86 -15.160   3.96 -14.719   7.60 -13.853  14.59 -12.526
 1120   1.02 -14.416   1.84 -15.175   3.94 -14.736   7.43 -13.882  14.52 -12.551
 1130   1.02 -14.424   1.82 -15.190   3.93 -14.752   7.27 -13.910  14.46 -12.575
 1140   1.02 -14.431   1.80 -15.204   3.92 -14.768   7.11 -13.937  14.39 -12.599
 1150   1.02 -14.439   1.78 -15.219   3.90 -14.784   6.95 -13.964  14.33 -12.623
 1160   1.02 -14.447   1.76 -15.233   3.89 -14.799   6.81 -13.990  14.26 -12.647
 1170   1.02 -14.454   1.74 -15.247   3.88 -14.815   6.66 -14.016  14.19 -12.671
 1180   1.02 -14.462   1.72 -15.261   3.87 -14.830   6.53 -14.041  14.12 -12.695
 1190   1.02 -14.470   1.70 -15.275   3.86 -14.845   6.39 -14.065  14.04 -12.718
 1200   1.01 -14.477   1.68 -15.289   3.85 -14.860   6.27 -14.089  13.97 -12.742
 1210   1.01 -14.485   1.66 -15.302   3.84 -14.875   6.15 -14.113  13.89 -12.765
 1220   1.01 -14.492   1.64 -15.315   3.83 -14.890   6.03 -14.136  13.81 -12.788
 1230   1.01 -14.499   1.63 -15.328   3.82 -14.905   5.92 -14.158  13.73 -12.812
 1240   1.01 -14.507   1.61 -15.341   3.82 -14.919   5.82 -14.180  13.65 -12.835
 1250   1.01 -14.514   1.59 -15.354   3.81 -14.934   5.72 -14.201  13.57 -12.858
 1260   1.01 -14.522   1.57 -15.367   3.80 -14.949   5.62 -14.222  13.48 -12.880
 1270   1.01 -14.529   1.56 -15.379   3.79 -14.963   5.53 -14.242  13.40 -12.903
 1280   1.01 -14.536   1.54 -15.391   3.78 -14.977   5.44 -14.262  13.31 -12.926
 1290   1.01 -14.544   1.53 -15.403   3.78 -14.992   5.36 -14.281  13.22 -12.948
 1300   1.01 -14.551   1.51 -15.415   3.77 -15.006   5.29 -14.300  13.13 -12.971
 1310   1.01 -14.558   1.50 -15.427   3.76 -15.020   5.21 -14.319  13.04 -12.993
 1320   1.01 -14.565   1.48 -15.439   3.76 -15.034   5.14 -14.336  12.94 -13.015
