

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
   90  28.91  -5.466 860.48 188.00 14.572 19.168 19.745 17.823 17.389   .000
  100  28.36  -6.247 860.48 193.18 13.798 18.323 18.971 17.049 17.665   .000
  110  27.27  -7.011 860.48 236.86 13.648 17.420 18.217 16.011 17.364   .000
  120  26.10  -7.650 860.48 335.89 13.483 16.629 17.573 15.158 16.990   .000
  130  25.26  -8.112 860.48 444.11 13.357 16.095 17.096 14.529 16.668   .000
  140  24.53  -8.460 860.48 541.74 13.264 15.690 16.730 14.044 16.422   .000
  150  23.85  -8.732 860.48 616.81 13.195 15.364 16.438 13.651 16.231 11.882
  160  23.20  -8.959 860.48 671.17 13.142 15.085 16.189 13.312 16.073 11.775
  170  22.58  -9.157 860.48 710.57 13.098 14.835 15.967 13.006 15.936 11.696
  180  21.99  -9.335 860.48 739.76 13.061 14.604 15.762 12.722 15.811 11.639
  190  21.42  -9.498 860.48 761.92 13.027 14.385 15.569 12.452 15.695 11.593
  200  20.88  -9.651 860.48 779.12 12.996 14.175 15.384 12.192 15.585 11.558
  210  20.37  -9.796 860.48 792.69 12.967 13.972 15.205 11.940 15.480 11.529
  220  19.90  -9.933 860.48 803.54 12.939 13.774 15.031 11.695 15.378 11.506
  230  19.45 -10.064 860.48 812.33 12.913 13.580 14.861 11.454 15.279 11.485
  240  19.05 -10.189 860.48 819.49 12.887 13.389 14.694 11.217 15.182 11.468
  250  18.67 -10.310 860.48 825.39 12.862 13.202 14.529 10.983 15.086 11.453
  260  18.33 -10.426 860.48 830.27 12.837 13.016 14.366 10.752 14.992 11.441
  270  18.02 -10.539 860.48 834.34 12.813 12.832 14.205 10.523 14.899 11.429
  280  17.74 -10.648 860.48 837.75 12.790 12.650 14.046 10.297 14.807 11.419
  290  17.48 -10.754 860.48 840.63 12.767 12.470 13.887 10.072 14.716 11.409
  300  17.25 -10.858 860.48 843.06 12.744 12.291 13.731  9.848 14.626 11.400
  310  17.04 -10.959 860.48 845.13 12.721 12.113 13.575  9.627 14.537 11.392
  320  16.85 -11.058 860.48 846.90 12.698 11.936 13.420  9.406 14.448 11.384
  330  16.67 -11.155 860.48 848.42 12.676 11.761 13.266  9.187 14.360 11.377
  340  16.51 -11.250 860.48 849.73 12.654 11.586 13.113  8.969 14.272 11.370
  350  16.35 -11.344 860.48 850.86 12.632 11.412 12.960  8.752 14.185 11.363
  360  16.20 -11.436 860.48 851.85 12.610 11.238 12.809  8.536 14.098 11.356
  370  16.06 -11.527 860.48 852.71 12.588 11.066 12.658  8.320 14.011 11.350
  380  15.92 -11.617 860.48 853.46 12.566 10.894 12.507  8.106 13.925 11.344
  390  15.77 -11.706 860.48 854.12 12.545 10.723 12.357  7.893 13.840 11.338
  400  15.62 -11.794 860.48 854.70 12.523 10.553 12.208  7.680 13.754 11.332
  410  15.47 -11.880 860.48 855.22 12.502 10.383 12.060  7.468 13.669 11.326
  420  15.31 -11.966 860.48 855.68 12.481 10.214 11.912  7.257 13.585 11.320
  430  15.14 -12.052 860.48 856.09 12.459 10.046 11.764  7.047 13.500 11.314
  440  14.95 -12.136 860.48 856.45 12.438  9.878 11.617  6.838 13.416 11.309
  450  14.75 -12.220 860.48 856.78 12.417  9.711 11.471  6.629 13.333 11.303
  460  14.53 -12.302 860.48 857.07 12.396  9.544 11.325  6.421 13.249 11.298
  470  14.30 -12.384 860.48 857.33 12.375  9.378 11.179  6.213 13.166 11.292
  480  14.04 -12.466 860.48 857.57 12.355  9.212 11.034  6.006 13.083 11.287
