

 ******************************** Dynamic Model *********************************
  F10.7 = 100.00, Fbar = 100.00, Kp = 5.0, Right ascension (deg) =    .00
, Greenwich Sideral Time (rad) =    5.122 Altitude (km) = 600.00
, Modified Julian Date = 22476., UTC (s) =      .000

                                 Latitude (deg) 
 SunRA     -60            -30              0             30             60
  deg mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
 -180  11.93 -13.457   8.05 -13.623   7.58 -13.635   9.32 -13.635  13.89 -13.279
 -175  11.83 -13.466   8.00 -13.628   7.55 -13.643   9.39 -13.639  13.96 -13.272
 -170  11.72 -13.475   7.93 -13.633   7.49 -13.652   9.43 -13.644  14.01 -13.267
 -165  11.61 -13.484   7.85 -13.640   7.42 -13.663   9.44 -13.651  14.04 -13.264
 -160  11.50 -13.494   7.75 -13.649   7.32 -13.675   9.42 -13.659  14.06 -13.263
 -155  11.39 -13.503   7.63 -13.659   7.19 -13.687   9.37 -13.669  14.07 -13.264
 -150  11.28 -13.512   7.49 -13.669   7.04 -13.701   9.28 -13.680  14.06 -13.266
 -145  11.18 -13.521   7.34 -13.680   6.88 -13.714   9.15 -13.691  14.04 -13.269
 -140  11.07 -13.529   7.18 -13.691   6.71 -13.727   9.01 -13.703  14.01 -13.272
 -135  10.98 -13.535   7.02 -13.701   6.53 -13.738   8.84 -13.715  13.97 -13.277
 -130  10.91 -13.540   6.87 -13.710   6.37 -13.747   8.67 -13.725  13.92 -13.282
 -125  10.85 -13.544   6.74 -13.717   6.22 -13.754   8.49 -13.733  13.86 -13.287
 -120  10.82 -13.544   6.64 -13.722   6.11 -13.757   8.33 -13.738  13.80 -13.291
 -115  10.83 -13.541   6.57 -13.722   6.03 -13.755   8.20 -13.739  13.75 -13.294
 -110  10.87 -13.534   6.54 -13.719   5.99 -13.749   8.11 -13.736  13.69 -13.295
 -105  10.96 -13.524   6.56 -13.712   6.00 -13.738   8.05 -13.728  13.65 -13.294
 -100  11.08 -13.511   6.63 -13.700   6.06 -13.723   8.04 -13.715  13.61 -13.293
  -95  11.23 -13.494   6.75 -13.685   6.17 -13.703   8.07 -13.698  13.58 -13.290
  -90  11.41 -13.474   6.92 -13.665   6.32 -13.678   8.14 -13.678  13.56 -13.287
  -85  11.62 -13.452   7.13 -13.643   6.52 -13.650   8.24 -13.654  13.53 -13.283
  -80  11.84 -13.429   7.38 -13.617   6.77 -13.618   8.37 -13.627  13.51 -13.279
  -75  12.07 -13.404   7.66 -13.590   7.04 -13.584   8.53 -13.599  13.49 -13.275
  -70  12.30 -13.379   7.97 -13.561   7.34 -13.549   8.69 -13.569  13.47 -13.272
  -65  12.53 -13.354   8.29 -13.532   7.66 -13.513   8.87 -13.538  13.45 -13.269
  -60  12.74 -13.330   8.62 -13.503   7.97 -13.477   9.05 -13.508  13.42 -13.268
  -55  12.95 -13.307   8.93 -13.475   8.27 -13.442   9.21 -13.479  13.38 -13.266
  -50  13.14 -13.285   9.24 -13.448   8.56 -13.409   9.37 -13.450  13.34 -13.266
  -45  13.31 -13.264   9.53 -13.424   8.82 -13.379   9.52 -13.424  13.29 -13.266
  -40  13.47 -13.245   9.80 -13.401   9.05 -13.351   9.65 -13.399  13.23 -13.267
  -35  13.62 -13.226  10.05 -13.381   9.26 -13.325   9.76 -13.375  13.18 -13.268
  -30  13.75 -13.209  10.28 -13.362   9.45 -13.302   9.86 -13.353  13.11 -13.269
  -25  13.88 -13.192  10.50 -13.345   9.62 -13.281   9.96 -13.333  13.05 -13.270
  -20  13.99 -13.176  10.71 -13.329   9.78 -13.261  10.04 -13.313  12.99 -13.270
  -15  14.10 -13.160  10.91 -13.313   9.92 -13.242  10.14 -13.294  12.94 -13.270
  -10  14.21 -13.144  11.11 -13.297  10.07 -13.223  10.23 -13.275  12.89 -13.269
   -5  14.31 -13.128  11.31 -13.280  10.23 -13.204  10.34 -13.256  12.85 -13.267
    0  14.40 -13.112  11.51 -13.263  10.39 -13.185  10.46 -13.236  12.83 -13.263
    5  14.49 -13.096  11.72 -13.245  10.57 -13.165  10.59 -13.216  12.82 -13.258
   10  14.58 -13.081  11.93 -13.226  10.76 -13.144  10.74 -13.195  12.82 -13.253
   15  14.67 -13.065  12.13 -13.207  10.96 -13.122  10.90 -13.174  12.84 -13.246
   20  14.74 -13.051  12.34 -13.187  11.17 -13.099  11.08 -13.152  12.87 -13.238
   25  14.82 -13.038  12.53 -13.168  11.38 -13.077  11.26 -13.131  12.91 -13.230
   30  14.88 -13.027  12.70 -13.150  11.59 -13.056  11.44 -13.112  12.96 -13.222
   35  14.94 -13.017  12.86 -13.134  11.79 -13.036  11.61 -13.093  13.02 -13.214
   40  14.98 -13.010  13.00 -13.121  11.97 -13.019  11.77 -13.078  13.08 -13.207
   45  15.02 -13.006  13.12 -13.110  12.13 -13.005  11.92 -13.065  13.13 -13.202
   50  15.04 -13.005  13.20 -13.103  12.27 -12.995  12.04 -13.057  13.19 -13.198
   55  15.05 -13.008  13.26 -13.101  12.37 -12.990  12.14 -13.053  13.24 -13.196
   60  15.04 -13.014  13.28 -13.103  12.44 -12.990  12.20 -13.055  13.28 -13.196
   65  15.02 -13.023  13.26 -13.110  12.46 -12.997  12.22 -13.062  13.31 -13.199
   70  14.98 -13.036  13.21 -13.123  12.44 -13.009  12.21 -13.075  13.33 -13.205
   75  14.93 -13.052  13.12 -13.140  12.38 -13.028  12.16 -13.093  13.34 -13.213
   80  14.86 -13.071  12.99 -13.162  12.26 -13.053  12.07 -13.118  13.33 -13.223
   85  14.77 -13.093  12.80 -13.189  12.10 -13.084  11.93 -13.147  13.32 -13.235
   90  14.66 -13.117  12.58 -13.221  11.88 -13.120  11.74 -13.182  13.29 -13.249
   95  14.54 -13.142  12.30 -13.255  11.60 -13.161  11.52 -13.221  13.26 -13.264
  100  14.40 -13.169  11.98 -13.293  11.28 -13.205  11.26 -13.262  13.23 -13.279
  105  14.24 -13.197  11.62 -13.332  10.92 -13.252  10.97 -13.306  13.19 -13.294
  110  14.07 -13.225  11.24 -13.371  10.52 -13.300  10.67 -13.350  13.16 -13.308
  115  13.89 -13.252  10.83 -13.410  10.11 -13.347  10.35 -13.393  13.13 -13.320
  120  13.71 -13.278  10.42 -13.447   9.69 -13.392  10.05 -13.434  13.12 -13.330
  125  13.52 -13.303  10.02 -13.480   9.30 -13.434   9.77 -13.473  13.12 -13.338
  130  13.33 -13.325   9.64 -13.511   8.93 -13.472   9.52 -13.507  13.13 -13.343
  135  13.14 -13.346   9.30 -13.537   8.61 -13.505   9.32 -13.537  13.17 -13.344
  140  12.97 -13.365   9.01 -13.559   8.33 -13.534   9.16 -13.562  13.22 -13.343
  145  12.80 -13.381   8.77 -13.576   8.11 -13.557   9.06 -13.583  13.29 -13.339
  150  12.65 -13.396   8.57 -13.590   7.94 -13.576   9.01 -13.599  13.37 -13.332
  155  12.51 -13.408   8.42 -13.600   7.82 -13.591   9.00 -13.610  13.46 -13.324
  160  12.38 -13.419   8.30 -13.607   7.73 -13.603   9.03 -13.619  13.55 -13.315
  165  12.26 -13.430   8.22 -13.612   7.67 -13.613   9.08 -13.624  13.64 -13.305
  170  12.14 -13.439   8.15 -13.616   7.64 -13.620   9.16 -13.629  13.73 -13.296
  175  12.03 -13.448   8.10 -13.619   7.61 -13.628   9.24 -13.632  13.82 -13.287
  180  11.93 -13.457   8.05 -13.623   7.58 -13.635   9.32 -13.635  13.89 -13.279
