 ******************************** Static Profile ********************************
                             Exospheric Temperature

  alt           500K           700K          1000K          1500K          2400K
 (km) mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
   90  28.90  -5.466  28.90  -5.466  28.90  -5.466  28.90  -5.466  28.90  -5.466
  100  28.36  -6.246  28.36  -6.248  28.36  -6.250  28.36  -6.252  28.36  -6.254
  110  27.23  -7.006  27.25  -7.011  27.27  -7.016  27.30  -7.020  27.32  -7.025
  120  25.89  -7.666  26.02  -7.657  26.14  -7.650  26.24  -7.645  26.34  -7.641
  130  24.79  -8.177  25.10  -8.134  25.35  -8.102  25.56  -8.074  25.76  -8.049
  140  23.72  -8.574  24.26  -8.494  24.66  -8.436  25.00  -8.389  25.28  -8.349
  150  22.69  -8.905  23.45  -8.787  24.03  -8.703  24.49  -8.637  24.88  -8.583
  160  21.70  -9.195  22.69  -9.037  23.43  -8.925  24.03  -8.841  24.52  -8.774
  170  20.77  -9.456  21.96  -9.257  22.87  -9.118  23.60  -9.014  24.20  -8.935
  180  19.94  -9.694  21.27  -9.457  22.34  -9.289  23.20  -9.165  23.90  -9.073
  190  19.19  -9.915  20.63  -9.640  21.83  -9.443  22.82  -9.299  23.63  -9.193
  200  18.55 -10.122  20.03  -9.811  21.35  -9.586  22.46  -9.420  23.37  -9.300
  210  17.99 -10.318  19.49  -9.972  20.90  -9.718  22.12  -9.530  23.12  -9.396
  220  17.53 -10.505  19.00 -10.124  20.46  -9.842  21.79  -9.632  22.89  -9.483
  230  17.13 -10.684  18.55 -10.269  20.06  -9.960  21.47  -9.728  22.67  -9.563
  240  16.79 -10.856  18.15 -10.408  19.67 -10.072  21.17  -9.818  22.45  -9.637
  250  16.48 -11.024  17.80 -10.542  19.31 -10.180  20.87  -9.904  22.25  -9.706
  260  16.20 -11.187  17.49 -10.672  18.98 -10.284  20.59  -9.985  22.05  -9.771
  270  15.93 -11.347  17.21 -10.798  18.67 -10.384  20.32 -10.064  21.85  -9.832
  280  15.66 -11.504  16.96 -10.921  18.38 -10.481  20.06 -10.139  21.66  -9.890
  290  15.35 -11.658  16.73 -11.040  18.11 -10.576  19.80 -10.212  21.47  -9.946
  300  15.01 -11.811  16.53 -11.158  17.87 -10.668  19.56 -10.283  21.29  -9.999
  310  14.61 -11.961  16.34 -11.273  17.64 -10.758  19.33 -10.352  21.11 -10.051
  320  14.15 -12.109  16.16 -11.386  17.43 -10.845  19.11 -10.420  20.94 -10.101
  330  13.59 -12.255  15.98 -11.497  17.24 -10.931  18.90 -10.485  20.76 -10.149
  340  12.95 -12.399  15.80 -11.607  17.06 -11.016  18.70 -10.550  20.60 -10.196
  350  12.21 -12.540  15.62 -11.716  16.90 -11.099  18.51 -10.613  20.43 -10.242
  360  11.38 -12.679  15.43 -11.823  16.74 -11.181  18.32 -10.675  20.27 -10.287
  370  10.48 -12.815  15.22 -11.930  16.60 -11.261  18.15 -10.735  20.12 -10.332
  380   9.54 -12.947  14.99 -12.035  16.46 -11.341  17.98 -10.795  19.96 -10.375
  390   8.59 -13.076  14.74 -12.139  16.33 -11.419  17.83 -10.854  19.81 -10.417
  400   7.67 -13.199  14.46 -12.242  16.21 -11.496  17.68 -10.912  19.67 -10.459
  410   6.80 -13.317  14.15 -12.344  16.08 -11.573  17.54 -10.969  19.52 -10.500
  420   6.01 -13.428  13.81 -12.445  15.96 -11.648  17.41 -11.025  19.39 -10.541
  430   5.31 -13.533  13.42 -12.545  15.84 -11.723  17.28 -11.081  19.25 -10.581
  440   4.70 -13.630  13.00 -12.643  15.71 -11.798  17.16 -11.135  19.12 -10.621
  450   4.19 -13.720  12.54 -12.741  15.59 -11.871  17.04 -11.190  18.99 -10.660
  460   3.76 -13.802  12.05 -12.837  15.46 -11.944  16.93 -11.243  18.87 -10.698
  470   3.41 -13.876  11.52 -12.931  15.32 -12.017  16.83 -11.296  18.74 -10.736
  480   3.13 -13.943  10.97 -13.024  15.18 -12.088  16.73 -11.348  18.63 -10.774
  490   2.89 -14.004  10.40 -13.114  15.02 -12.159  16.63 -11.400  18.51 -10.811
  500   2.70 -14.058   9.81 -13.203  14.86 -12.230  16.54 -11.451  18.40 -10.848
  510   2.54 -14.108   9.23 -13.290  14.69 -12.300  16.44 -11.502  18.29 -10.884
  520   2.41 -14.152   8.65 -13.374  14.50 -12.370  16.36 -11.552  18.19 -10.920
  530   2.30 -14.193   8.09 -13.455  14.31 -12.439  16.27 -11.602  18.09 -10.955
  540   2.21 -14.231   7.55 -13.534  14.09 -12.507  16.19 -11.652  17.99 -10.991
  550   2.13 -14.266   7.04 -13.609  13.87 -12.575  16.10 -11.701  17.89 -11.026
  560   2.06 -14.298   6.57 -13.682  13.62 -12.642  16.02 -11.749  17.80 -11.060
  570   2.00 -14.329   6.13 -13.751  13.37 -12.709  15.94 -11.797  17.71 -11.094
  580   1.94 -14.358   5.73 -13.816  13.09 -12.775  15.86 -11.845  17.62 -11.128
  590   1.89 -14.386   5.37 -13.879  12.81 -12.840  15.78 -11.893  17.54 -11.162
  600   1.85 -14.412   5.05 -13.937  12.50 -12.904  15.69 -11.940  17.45 -11.195
  610   1.80 -14.438   4.76 -13.993  12.19 -12.968  15.61 -11.987  17.38 -11.228
  620   1.77 -14.462   4.51 -14.045  11.86 -13.031  15.52 -12.034  17.30 -11.261
  630   1.73 -14.486   4.28 -14.094  11.52 -13.094  15.44 -12.080  17.22 -11.293
  640   1.69 -14.509   4.08 -14.140  11.17 -13.155  15.35 -12.126  17.15 -11.326
  650   1.66 -14.532   3.91 -14.183  10.81 -13.216  15.25 -12.172  17.08 -11.357
  660   1.63 -14.554   3.75 -14.223  10.45 -13.275  15.16 -12.217  17.01 -11.389
  670   1.60 -14.575   3.62 -14.261  10.08 -13.334  15.06 -12.262  16.94 -11.421
  680   1.57 -14.596   3.50 -14.297   9.72 -13.391  14.96 -12.307  16.88 -11.452
  690   1.55 -14.617   3.39 -14.331   9.35 -13.448  14.85 -12.352  16.81 -11.483
  700   1.52 -14.637   3.30 -14.363   8.99 -13.503  14.74 -12.396  16.75 -11.513
  710   1.50 -14.656   3.21 -14.394   8.64 -13.557  14.63 -12.440  16.69 -11.544
  720   1.47 -14.675   3.14 -14.423   8.30 -13.610  14.51 -12.484  16.63 -11.574
  730   1.45 -14.694   3.07 -14.451   7.96 -13.661  14.39 -12.527  16.57 -11.604
  740   1.43 -14.712   3.01 -14.477   7.64 -13.711  14.26 -12.570  16.52 -11.634
  750   1.41 -14.730   2.95 -14.503   7.33 -13.759  14.12 -12.613  16.46 -11.664
  760   1.39 -14.748   2.90 -14.528   7.04 -13.807  13.98 -12.656  16.40 -11.693
  770   1.37 -14.765   2.85 -14.552   6.76 -13.852  13.84 -12.698  16.35 -11.723
  780   1.35 -14.782   2.80 -14.576   6.50 -13.896  13.69 -12.740  16.30 -11.752
  790   1.34 -14.798   2.76 -14.599   6.25 -13.939  13.53 -12.782  16.24 -11.781
  800   1.32 -14.814   2.72 -14.621   6.02 -13.980  13.37 -12.824  16.19 -11.809
  810   1.31 -14.830   2.68 -14.643   5.80 -14.020  13.21 -12.865  16.14 -11.838
  820   1.29 -14.845   2.64 -14.665   5.60 -14.058  13.03 -12.906  16.09 -11.866
  830   1.28 -14.860   2.60 -14.686   5.42 -14.095  12.86 -12.946  16.04 -11.895
  840   1.26 -14.875   2.57 -14.706   5.25 -14.130  12.67 -12.987  15.98 -11.923
  850   1.25 -14.889   2.53 -14.727   5.09 -14.164  12.48 -13.027  15.93 -11.951
  860   1.24 -14.903   2.50 -14.747   4.94 -14.197  12.29 -13.066  15.88 -11.978
  870   1.23 -14.917   2.47 -14.767   4.81 -14.228  12.09 -13.105  15.83 -12.006
  880   1.22 -14.931   2.43 -14.786   4.68 -14.258  11.89 -13.144  15.78 -12.033
  890   1.21 -14.944   2.40 -14.806   4.57 -14.287  11.69 -13.183  15.73 -12.061
  900   1.20 -14.957   2.37 -14.825   4.47 -14.315  11.48 -13.221  15.68 -12.088
  910   1.19 -14.970   2.34 -14.843   4.37 -14.342  11.27 -13.259  15.63 -12.115
  920   1.18 -14.982   2.31 -14.862   4.29 -14.367  11.05 -13.296  15.57 -12.142
  930   1.17 -14.995   2.28 -14.880   4.21 -14.392  10.84 -13.334  15.52 -12.169
  940   1.16 -15.007   2.25 -14.899   4.13 -14.416  10.62 -13.370  15.47 -12.195
  950   1.16 -15.018   2.22 -14.916   4.06 -14.439  10.40 -13.406  15.42 -12.222
  960   1.15 -15.030   2.20 -14.934   4.00 -14.461  10.18 -13.442  15.36 -12.248
  970   1.14 -15.042   2.17 -14.952   3.95 -14.483   9.96 -13.478  15.31 -12.274
  980   1.13 -15.053   2.14 -14.969   3.89 -14.504   9.75 -13.513  15.25 -12.300
  990   1.13 -15.064   2.11 -14.986   3.84 -14.524   9.53 -13.547  15.19 -12.326
 1000   1.12 -15.075   2.09 -15.003   3.80 -14.544   9.31 -13.581  15.14 -12.352
 1010   1.12 -15.086   2.06 -15.020   3.76 -14.563   9.10 -13.614  15.08 -12.378
 1020   1.11 -15.096   2.04 -15.037   3.72 -14.582   8.89 -13.647  15.02 -12.404
 1030   1.11 -15.107   2.01 -15.053   3.68 -14.600   8.68 -13.680  14.96 -12.429
 1040   1.10 -15.117   1.99 -15.069   3.65 -14.618   8.48 -13.712  14.90 -12.454
 1050   1.10 -15.127   1.96 -15.085   3.62 -14.635   8.28 -13.743  14.83 -12.480
 1060   1.09 -15.137   1.94 -15.101   3.59 -14.653   8.09 -13.774  14.77 -12.505
 1070   1.09 -15.147   1.91 -15.117   3.56 -14.669   7.89 -13.805  14.70 -12.530
 1080   1.08 -15.157   1.89 -15.132   3.53 -14.686   7.71 -13.834  14.64 -12.555
 1090   1.08 -15.166   1.87 -15.148   3.51 -14.702   7.53 -13.864  14.57 -12.579
 1100   1.08 -15.176   1.84 -15.163   3.48 -14.718   7.35 -13.892  14.50 -12.604
 1110   1.07 -15.185   1.82 -15.178   3.46 -14.734   7.18 -13.921  14.43 -12.629
 1120   1.07 -15.194   1.80 -15.192   3.44 -14.750   7.02 -13.948  14.36 -12.653
 1130   1.07 -15.203   1.78 -15.207   3.42 -14.765   6.86 -13.975  14.28 -12.677
 1140   1.06 -15.212   1.76 -15.221   3.40 -14.780   6.71 -14.002  14.21 -12.701
 1150   1.06 -15.221   1.74 -15.236   3.37 -14.795   6.56 -14.027  14.13 -12.726
 1160   1.06 -15.230   1.72 -15.250   3.36 -14.810   6.42 -14.053  14.06 -12.749
 1170   1.06 -15.239   1.70 -15.264   3.34 -14.825   6.29 -14.078  13.98 -12.773
 1180   1.05 -15.248   1.68 -15.277   3.32 -14.840   6.16 -14.102  13.89 -12.797
 1190   1.05 -15.256   1.66 -15.291   3.30 -14.854   6.03 -14.125  13.81 -12.821
 1200   1.05 -15.265   1.64 -15.304   3.28 -14.868   5.91 -14.148  13.73 -12.844
 1210   1.05 -15.273   1.63 -15.317   3.26 -14.883   5.80 -14.171  13.64 -12.867
 1220   1.05 -15.281   1.61 -15.330   3.25 -14.897   5.69 -14.193  13.55 -12.891
 1230   1.04 -15.290   1.59 -15.343   3.23 -14.911   5.59 -14.214  13.46 -12.914
 1240   1.04 -15.298   1.58 -15.356   3.21 -14.925   5.49 -14.235  13.37 -12.937
 1250   1.04 -15.306   1.56 -15.368   3.19 -14.938   5.40 -14.256  13.28 -12.960
 1260   1.04 -15.314   1.54 -15.380   3.18 -14.952   5.31 -14.276  13.19 -12.983
 1270   1.04 -15.322   1.53 -15.393   3.16 -14.966   5.22 -14.295  13.09 -13.005
 1280   1.04 -15.330   1.51 -15.405   3.14 -14.979   5.15 -14.314  13.00 -13.028
 1290   1.03 -15.338   1.50 -15.416   3.13 -14.993   5.07 -14.333  12.90 -13.050
 1300   1.03 -15.346   1.49 -15.428   3.11 -15.006   5.00 -14.351  12.80 -13.072
 1310   1.03 -15.354   1.47 -15.440   3.09 -15.019   4.93 -14.368  12.70 -13.095
 1320   1.03 -15.361   1.46 -15.451   3.08 -15.032   4.86 -14.386  12.59 -13.117
 1330   1.03 -15.369   1.45 -15.462   3.06 -15.046   4.80 -14.402  12.49 -13.139
 1340   1.03 -15.377   1.43 -15.473   3.04 -15.059   4.75 -14.419  12.39 -13.160
 1350   1.03 -15.384   1.42 -15.484   3.03 -15.072   4.69 -14.435  12.28 -13.182
 1360   1.03 -15.392   1.41 -15.495   3.01 -15.084   4.64 -14.450  12.17 -13.204
 1370   1.03 -15.399   1.40 -15.505   2.99 -15.097   4.59 -14.466  12.06 -13.225
 1380   1.03 -15.407   1.39 -15.516   2.98 -15.110   4.54 -14.481  11.95 -13.246
 1390   1.02 -15.414   1.37 -15.526   2.96 -15.123   4.50 -14.495  11.84 -13.268
 1400   1.02 -15.422   1.36 -15.536   2.94 -15.135   4.46 -14.510  11.73 -13.289
 1410   1.02 -15.429   1.35 -15.546   2.93 -15.148   4.42 -14.524  11.62 -13.309
 1420   1.02 -15.436   1.34 -15.556   2.91 -15.160   4.38 -14.537  11.51 -13.330
 1430   1.02 -15.444   1.33 -15.566   2.89 -15.173   4.35 -14.551  11.39 -13.351
 1440   1.02 -15.451   1.32 -15.575   2.88 -15.185   4.31 -14.564  11.28 -13.371
 1450   1.02 -15.458   1.31 -15.585   2.86 -15.198   4.28 -14.577  11.16 -13.392
 1460   1.02 -15.465   1.30 -15.594   2.84 -15.210   4.25 -14.590  11.05 -13.412
 1470   1.02 -15.472   1.30 -15.603   2.83 -15.222   4.22 -14.602  10.93 -13.432
 1480   1.02 -15.479   1.29 -15.613   2.81 -15.234   4.20 -14.614  10.81 -13.452
 1490   1.02 -15.486   1.28 -15.622   2.79 -15.246   4.17 -14.626  10.70 -13.472
 1500   1.02 -15.494   1.27 -15.630   2.77 -15.258   4.15 -14.638  10.58 -13.491
 1510   1.02 -15.501   1.26 -15.639   2.76 -15.270   4.12 -14.650  10.46 -13.511
 1520   1.02 -15.508   1.26 -15.648   2.74 -15.282   4.10 -14.661  10.35 -13.530
 1530   1.02 -15.514   1.25 -15.656   2.72 -15.294   4.08 -14.673  10.23 -13.549
 1540   1.02 -15.521   1.24 -15.665   2.71 -15.305   4.06 -14.684  10.11 -13.569
 1550   1.02 -15.528   1.23 -15.673   2.69 -15.317   4.04 -14.695  10.00 -13.587
 1560   1.02 -15.535   1.23 -15.681   2.67 -15.329   4.03 -14.705   9.88 -13.606
 1570   1.02 -15.542   1.22 -15.689   2.66 -15.340   4.01 -14.716   9.77 -13.625
 1580   1.01 -15.549   1.21 -15.697   2.64 -15.352   3.99 -14.727   9.65 -13.643
 1590   1.01 -15.556   1.21 -15.705   2.62 -15.363   3.98 -14.737   9.54 -13.662
 1600   1.01 -15.562   1.20 -15.713   2.61 -15.374   3.96 -14.747   9.42 -13.680
 1610   1.01 -15.569   1.20 -15.721   2.59 -15.386   3.95 -14.757   9.31 -13.698
 1620   1.01 -15.576   1.19 -15.728   2.57 -15.397   3.94 -14.767   9.20 -13.716
 1630   1.01 -15.583   1.19 -15.736   2.55 -15.408   3.92 -14.777   9.08 -13.733
 1640   1.01 -15.589   1.18 -15.743   2.54 -15.419   3.91 -14.787   8.97 -13.751
 1650   1.01 -15.596   1.18 -15.750   2.52 -15.430   3.90 -14.797   8.86 -13.768
 1660   1.01 -15.602   1.17 -15.758   2.50 -15.441   3.89 -14.806   8.76 -13.785
 1670   1.01 -15.609   1.17 -15.765   2.49 -15.452   3.88 -14.816   8.65 -13.802
 1680   1.01 -15.616   1.16 -15.772   2.47 -15.463   3.87 -14.825   8.54 -13.819
 1690   1.01 -15.622   1.16 -15.779   2.45 -15.474   3.86 -14.835   8.44 -13.836
 1700   1.01 -15.629   1.15 -15.786   2.44 -15.485   3.85 -14.844   8.33 -13.852
 1710   1.01 -15.635   1.15 -15.793   2.42 -15.495   3.84 -14.853   8.23 -13.869
 1720   1.01 -15.642   1.14 -15.799   2.41 -15.506   3.83 -14.862   8.13 -13.885
