

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
   90  28.90  -5.466 860.48 188.00 14.571 19.167 19.745 17.822 17.478   .000
  100  28.36  -6.249 860.48 193.18 13.795 18.321 18.969 17.046 17.665   .000
  110  27.26  -7.014 860.48 236.86 13.644 17.417 18.214 16.010 17.362   .000
  120  26.09  -7.653 860.48 335.89 13.481 16.626 17.571 15.156 16.989   .000
  130  25.25  -8.114 860.48 444.11 13.355 16.093 17.094 14.527 16.668 11.710
  140  24.51  -8.458 860.48 541.74 13.265 15.690 16.731 14.044 16.426 11.639
  150  23.81  -8.734 860.48 616.81 13.196 15.359 16.434 13.644 16.233 11.589
  160  23.15  -8.967 860.48 671.17 13.141 15.073 16.179 13.297 16.070 11.552
  170  22.52  -9.170 860.48 710.57 13.094 14.817 15.951 12.985 15.928 11.523
  180  21.93  -9.351 860.48 739.76 13.055 14.582 15.743 12.697 15.800 11.500
  190  21.37  -9.516 860.48 761.92 13.019 14.362 15.548 12.425 15.682 11.482
  200  20.84  -9.669 860.48 779.12 12.987 14.153 15.363 12.167 15.571 11.467
  210  20.34  -9.813 860.48 792.69 12.958 13.951 15.186 11.918 15.466 11.454
  220  19.87  -9.948 860.48 803.54 12.930 13.756 15.015 11.676 15.365 11.443
  230  19.44 -10.076 860.48 812.33 12.904 13.566 14.847 11.440 15.267 11.434
  240  19.04 -10.199 860.48 819.49 12.878 13.379 14.683 11.207 15.172 11.425
  250  18.67 -10.317 860.48 825.39 12.854 13.195 14.522 10.979 15.079 11.417
  260  18.34 -10.431 860.48 830.27 12.830 13.013 14.363 10.752 14.987 11.410
  270  18.03 -10.541 860.48 834.34 12.807 12.834 14.205 10.528 14.896 11.403
  280  17.76 -10.648 860.48 837.75 12.784 12.655 14.049 10.306 14.806 11.396
  290  17.50 -10.752 860.48 840.63 12.761 12.479 13.894 10.086 14.717 11.390
  300  17.27 -10.854 860.48 843.06 12.739 12.303 13.740  9.866 14.629 11.384
  310  17.07 -10.953 860.48 845.13 12.717 12.128 13.587  9.648 14.541 11.378
  320  16.87 -11.050 860.48 846.90 12.695 11.954 13.434  9.431 14.454 11.372
  330  16.70 -11.146 860.48 848.42 12.673 11.781 13.283  9.215 14.367 11.367
  340  16.53 -11.240 860.48 849.73 12.651 11.608 13.131  8.999 14.281 11.361
  350  16.38 -11.333 860.48 850.86 12.630 11.436 12.981  8.785 14.195 11.356
  360  16.23 -11.424 860.48 851.85 12.608 11.265 12.831  8.571 14.109 11.350
  370  16.09 -11.514 860.48 852.71 12.587 11.094 12.682  8.358 14.024 11.345
  380  15.95 -11.603 860.48 853.46 12.565 10.924 12.533  8.146 13.939 11.339
  390  15.80 -11.691 860.48 854.12 12.544 10.755 12.384  7.934 13.854 11.334
  400  15.66 -11.778 860.48 854.70 12.523 10.586 12.236  7.723 13.769 11.328
  410  15.51 -11.864 860.48 855.22 12.502 10.417 12.089  7.513 13.685 11.323
  420  15.35 -11.950 860.48 855.68 12.481 10.249 11.942  7.303 13.601 11.318
  430  15.18 -12.034 860.48 856.09 12.460 10.082 11.795  7.094 13.517 11.312
  440  15.00 -12.118 860.48 856.45 12.439  9.915 11.649  6.886 13.434 11.307
  450  14.81 -12.202 860.48 856.78 12.418  9.749 11.503  6.678 13.351 11.302
  460  14.60 -12.284 860.48 857.07 12.398  9.583 11.358  6.471 13.268 11.297
  470  14.37 -12.366 860.48 857.33 12.377  9.417 11.213  6.264 13.185 11.292
  480  14.12 -12.447 860.48 857.57 12.356  9.252 11.069  6.058 13.103 11.286
  490  13.85 -12.527 860.48 857.78 12.336  9.088 10.925  5.853 13.020 11.281
  500  13.55 -12.606 860.48 857.98 12.315  8.924 10.781  5.648 12.938 11.276
  510  13.24 -12.685 860.48 858.15 12.295  8.760 10.638  5.444 12.857 11.271
  520  12.90 -12.763 860.48 858.31 12.274  8.597 10.496  5.241 12.775 11.266
  530  12.54 -12.840 860.48 858.46 12.254  8.435 10.353  5.038 12.694 11.261
  540  12.16 -12.916 860.48 858.59 12.234  8.273 10.211  4.836 12.613 11.255
  550  11.77 -12.991 860.48 858.71 12.213  8.111 10.070  4.634 12.532 11.250
  560  11.35 -13.064 860.48 858.83 12.193  7.950  9.929  4.433 12.452 11.245
  570  10.92 -13.137 860.48 858.93 12.173  7.789  9.788  4.232 12.371 11.240
  580  10.49 -13.208 860.48 859.02 12.153  7.629  9.648  4.032 12.291 11.235
  590  10.04 -13.278 860.48 859.11 12.133  7.469  9.508  3.833 12.211 11.230
  600   9.60 -13.347 860.48 859.19 12.113  7.310  9.369  3.634 12.132 11.225
  610   9.16 -13.414 860.48 859.27 12.093  7.151  9.230  3.436 12.052 11.220
  620   8.72 -13.479 860.48 859.33 12.074  6.993  9.091  3.238 11.973 11.215
  630   8.30 -13.543 860.48 859.40 12.054  6.835  8.953  3.041 11.894 11.210
  640   7.89 -13.605 860.48 859.46 12.034  6.678  8.815  2.844 11.815 11.205
  650   7.50 -13.665 860.48 859.51 12.015  6.521  8.677  2.648 11.737 11.200
  660   7.13 -13.722 860.48 859.56 11.995  6.364  8.540  2.453 11.658 11.195
  670   6.78 -13.778 860.48 859.61 11.975  6.208  8.404  2.258 11.580 11.190
  680   6.45 -13.832 860.48 859.65 11.956  6.052  8.267  2.063 11.503 11.185
  690   6.14 -13.884 860.48 859.70 11.937  5.897  8.132  1.870 11.425 11.181
  700   5.86 -13.933 860.48 859.73 11.917  5.742  7.996  1.676 11.348 11.176
  710   5.60 -13.981 860.48 859.77 11.898  5.588  7.861  1.484 11.270 11.171
  720   5.36 -14.026 860.48 859.80 11.879  5.434  7.726  1.292 11.193 11.166
  730   5.14 -14.069 860.48 859.84 11.859  5.280  7.592  1.100 11.117 11.161
  740   4.94 -14.110 860.48 859.87 11.840  5.127  7.458   .909 11.040 11.156
  750   4.76 -14.150 860.48 859.89 11.821  4.975  7.324   .718 10.964 11.152
  760   4.60 -14.187 860.48 859.92 11.802  4.823  7.191   .528 10.888 11.147
  770   4.45 -14.223 860.48 859.95 11.783  4.671  7.058   .339 10.812 11.142
  780   4.32 -14.257 860.48 859.97 11.764  4.519  6.926   .150 10.736 11.137
  790   4.20 -14.289 860.48 859.99 11.745  4.368  6.794  -.038 10.661 11.132
  800   4.09 -14.320 860.48 860.01 11.726  4.218  6.662  -.226 10.586 11.128
  810   3.99 -14.349 860.48 860.03 11.708  4.068  6.530  -.414 10.510 11.123
  820   3.90 -14.378 860.48 860.05 11.689  3.918  6.399  -.601 10.436 11.118
  830   3.82 -14.405 860.48 860.07 11.670  3.769  6.269  -.787 10.361 11.114
  840   3.75 -14.431 860.48 860.08 11.652  3.620  6.138  -.973 10.287 11.109
  850   3.68 -14.456 860.48 860.10 11.633  3.472  6.008 -1.158 10.212 11.104
  860   3.62 -14.480 860.48 860.11 11.615  3.324  5.879 -1.343 10.138 11.100
  870   3.56 -14.503 860.48 860.13 11.596  3.176  5.750 -1.527 10.065 11.095
  880   3.51 -14.526 860.48 860.14 11.578  3.029  5.621 -1.711  9.991 11.090
  890   3.46 -14.548 860.48 860.15 11.559  2.882  5.492 -1.894  9.918 11.086
  900   3.42 -14.569 860.48 860.17 11.541  2.736  5.364 -2.077  9.844 11.081
  910   3.38 -14.590 860.48 860.18 11.523  2.590  5.236 -2.259  9.771 11.076
  920   3.34 -14.610 860.48 860.19 11.505  2.444  5.109 -2.441  9.699 11.072
  930   3.30 -14.630 860.48 860.20 11.486  2.299  4.982 -2.622  9.626 11.067
  940   3.27 -14.649 860.48 860.21 11.468  2.154  4.855 -2.803  9.554 11.063
  950   3.24 -14.668 860.48 860.22 11.450  2.010  4.729 -2.983  9.482 11.058
  960   3.21 -14.687 860.48 860.23 11.432  1.866  4.603 -3.163  9.410 11.054
  970   3.18 -14.705 860.48 860.24 11.414  1.722  4.477 -3.342  9.338 11.049
  980   3.15 -14.723 860.48 860.24 11.396  1.579  4.352 -3.521  9.266 11.045
  990   3.12 -14.741 860.48 860.25 11.379  1.436  4.227 -3.699  9.195 11.040
 1000   3.09 -14.759 860.48 860.26 11.361  1.294  4.102 -3.877  9.124 11.036
 1010   3.07 -14.776 860.48 860.27 11.343  1.152  3.978 -4.054  9.053 11.031
 1020   3.04 -14.793 860.48 860.27 11.325  1.010  3.854 -4.231  8.982 11.027
 1030   3.01 -14.810 860.48 860.28 11.308   .869  3.730 -4.407  8.911 11.022
 1040   2.99 -14.827 860.48 860.29 11.290   .728  3.607 -4.583  8.841 11.018
 1050   2.97 -14.844 860.48 860.29 11.272   .588  3.484 -4.758  8.770 11.013
 1060   2.94 -14.860 860.48 860.30 11.255   .448  3.361 -4.933  8.700 11.009
 1070   2.92 -14.877 860.48 860.30 11.237   .308  3.239 -5.108  8.630 11.005
 1080   2.89 -14.893 860.48 860.31 11.220   .168  3.117 -5.282  8.561 11.000
 1090   2.87 -14.909 860.48 860.31 11.203   .029  2.995 -5.455  8.491 10.996
 1100   2.85 -14.925 860.48 860.32 11.185  -.109  2.874 -5.628  8.422 10.991
 1110   2.82 -14.940 860.48 860.32 11.168  -.247  2.753 -5.801  8.353 10.987
 1120   2.80 -14.956 860.48 860.33 11.151  -.385  2.632 -5.973  8.284 10.983
 1130   2.78 -14.972 860.48 860.33 11.133  -.523  2.511 -6.145  8.215 10.978
 1140   2.76 -14.987 860.48 860.34 11.116  -.660  2.391 -6.316  8.147 10.974
 1150   2.73 -15.002 860.48 860.34 11.099  -.797  2.272 -6.487  8.078 10.970
 1160   2.71 -15.018 860.48 860.35 11.082  -.933  2.152 -6.657  8.010 10.965
 1170   2.69 -15.033 860.48 860.35 11.065 -1.069  2.033 -6.827  7.942 10.961
 1180   2.67 -15.048 860.48 860.35 11.048 -1.205  1.914 -6.996  7.874 10.957
 1190   2.64 -15.062 860.48 860.36 11.031 -1.340  1.796 -7.165  7.806 10.953
 1200   2.62 -15.077 860.48 860.36 11.014 -1.475  1.678 -7.334  7.739 10.948
 1210   2.60 -15.092 860.48 860.36 10.998 -1.610  1.560 -7.502  7.672 10.944
 1220   2.58 -15.106 860.48 860.37 10.981 -1.744  1.442 -7.669  7.605 10.940
 1230   2.56 -15.121 860.48 860.37 10.964 -1.878  1.325 -7.837  7.538 10.936
 1240   2.53 -15.135 860.48 860.37 10.947 -2.011  1.208 -8.003  7.471 10.931
 1250   2.51 -15.150 860.48 860.37 10.931 -2.145  1.092 -8.170  7.404 10.927
 1260   2.49 -15.164 860.48 860.38 10.914 -2.278   .975 -8.336  7.338 10.923
 1270   2.47 -15.178 860.48 860.38 10.897 -2.410   .859 -8.501  7.271 10.919
 1280   2.45 -15.192 860.48 860.38 10.881 -2.542   .744 -8.666  7.205 10.915
 1290   2.43 -15.206 860.48 860.38 10.864 -2.674   .628 -8.830  7.140 10.911
 1300   2.41 -15.219 860.48 860.39 10.848 -2.805   .513 -8.995  7.074 10.906
 1310   2.38 -15.233 860.48 860.39 10.832 -2.937   .398 -9.158  7.008 10.902
 1320   2.36 -15.246 860.48 860.39 10.815 -3.067   .284 -9.322  6.943 10.898
 1330   2.34 -15.260 860.48 860.39 10.799 -3.198   .170 -9.484  6.878 10.894
 1340   2.32 -15.273 860.48 860.40 10.783 -3.328   .056 -9.647  6.813 10.890
 1350   2.30 -15.287 860.48 860.40 10.766 -3.458  -.058 -9.809  6.748 10.886
 1360   2.28 -15.300 860.48 860.40 10.750 -3.587  -.171 -9.970  6.683 10.882
 1370   2.26 -15.313 860.48 860.40 10.734 -3.716  -.284-10.132  6.618 10.878
