

 ******************************** Dynamic Model *********************************
  F10.7 = 100.00, Fbar = 100.00, Kp = 5.0, Right ascension (deg) =    .00
, Greenwich Sideral Time (rad) =    5.122 Altitude (km) = 600.00
, Modified Julian Date = 22476., UTC (s) =      .000

                                 Latitude (deg) 
 SunRA     -60            -30              0             30             60
  deg mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
 -180  11.81 -13.477   7.91 -13.641   7.44 -13.653   9.17 -13.655  13.82 -13.298
 -175  11.70 -13.486   7.86 -13.646   7.41 -13.661   9.24 -13.659  13.88 -13.291
 -170  11.60 -13.495   7.79 -13.651   7.36 -13.670   9.28 -13.664  13.93 -13.286
 -165  11.49 -13.504   7.71 -13.658   7.29 -13.680   9.30 -13.670  13.97 -13.283
 -160  11.38 -13.514   7.62 -13.667   7.19 -13.692   9.28 -13.679  13.99 -13.282
 -155  11.27 -13.523   7.50 -13.676   7.07 -13.704   9.23 -13.688  14.00 -13.282
 -150  11.16 -13.533   7.36 -13.687   6.92 -13.718   9.14 -13.699  13.99 -13.284
 -145  11.05 -13.541   7.22 -13.698   6.76 -13.731   9.02 -13.711  13.97 -13.287
 -140  10.95 -13.549   7.06 -13.708   6.60 -13.743   8.87 -13.723  13.94 -13.291
 -135  10.86 -13.556   6.91 -13.718   6.43 -13.754   8.71 -13.734  13.90 -13.296
 -130  10.78 -13.561   6.76 -13.727   6.27 -13.763   8.53 -13.744  13.84 -13.301
 -125  10.72 -13.564   6.63 -13.734   6.12 -13.770   8.36 -13.752  13.79 -13.306
 -120  10.69 -13.564   6.53 -13.738   6.01 -13.772   8.20 -13.757  13.73 -13.310
 -115  10.70 -13.562   6.46 -13.739   5.93 -13.771   8.07 -13.758  13.67 -13.313
 -110  10.74 -13.555   6.43 -13.736   5.89 -13.765   7.97 -13.755  13.62 -13.314
 -105  10.82 -13.545   6.45 -13.729   5.90 -13.754   7.92 -13.747  13.57 -13.314
 -100  10.94 -13.532   6.52 -13.718   5.95 -13.739   7.90 -13.735  13.53 -13.313
  -95  11.10 -13.515   6.63 -13.703   6.06 -13.719   7.93 -13.719  13.50 -13.310
  -90  11.28 -13.496   6.79 -13.684   6.21 -13.696   7.99 -13.698  13.47 -13.307
  -85  11.49 -13.474   6.99 -13.662   6.40 -13.668   8.09 -13.674  13.45 -13.304
  -80  11.71 -13.450   7.24 -13.637   6.64 -13.637   8.22 -13.648  13.42 -13.300
  -75  11.95 -13.426   7.52 -13.610   6.91 -13.603   8.37 -13.620  13.40 -13.296
  -70  12.18 -13.401   7.82 -13.581   7.20 -13.568   8.54 -13.590  13.38 -13.293
  -65  12.41 -13.376   8.14 -13.552   7.51 -13.533   8.72 -13.560  13.35 -13.290
  -60  12.63 -13.352   8.46 -13.524   7.82 -13.497   8.89 -13.530  13.32 -13.289
  -55  12.84 -13.328   8.78 -13.496   8.12 -13.463   9.06 -13.500  13.29 -13.287
  -50  13.04 -13.306   9.09 -13.470   8.41 -13.430   9.22 -13.472  13.24 -13.287
  -45  13.22 -13.285   9.38 -13.445   8.67 -13.400   9.37 -13.445  13.19 -13.287
  -40  13.38 -13.265   9.65 -13.423   8.91 -13.372   9.50 -13.420  13.14 -13.288
  -35  13.53 -13.246   9.90 -13.402   9.12 -13.346   9.61 -13.396  13.08 -13.289
  -30  13.67 -13.229  10.14 -13.384   9.30 -13.323   9.72 -13.374  13.02 -13.290
  -25  13.80 -13.212  10.36 -13.366   9.47 -13.302   9.81 -13.354  12.95 -13.291
  -20  13.92 -13.195  10.57 -13.350   9.63 -13.282   9.90 -13.334  12.89 -13.291
  -15  14.03 -13.179  10.77 -13.334   9.78 -13.263   9.99 -13.315  12.84 -13.291
  -10  14.14 -13.163  10.98 -13.318   9.93 -13.244  10.09 -13.296  12.79 -13.290
   -5  14.24 -13.147  11.18 -13.302  10.08 -13.225  10.19 -13.277  12.75 -13.287
    0  14.34 -13.131  11.38 -13.284  10.25 -13.206  10.31 -13.257  12.72 -13.284
    5  14.43 -13.115  11.59 -13.266  10.43 -13.186  10.45 -13.237  12.71 -13.279
   10  14.52 -13.099  11.80 -13.248  10.62 -13.165  10.60 -13.216  12.71 -13.273
   15  14.61 -13.084  12.01 -13.228  10.82 -13.143  10.76 -13.195  12.73 -13.266
   20  14.69 -13.069  12.21 -13.209  11.03 -13.121  10.93 -13.174  12.76 -13.259
   25  14.76 -13.056  12.41 -13.190  11.24 -13.099  11.11 -13.153  12.80 -13.251
   30  14.82 -13.045  12.59 -13.171  11.45 -13.077  11.30 -13.133  12.85 -13.242
   35  14.88 -13.035  12.75 -13.155  11.65 -13.058  11.47 -13.115  12.91 -13.235
   40  14.93 -13.028  12.90 -13.141  11.84 -13.040  11.64 -13.099  12.97 -13.228
   45  14.96 -13.024  13.01 -13.131  12.01 -13.026  11.79 -13.086  13.03 -13.222
   50  14.98 -13.023  13.10 -13.124  12.14 -13.016  11.91 -13.078  13.09 -13.218
   55  14.99 -13.025  13.16 -13.121  12.25 -13.011  12.01 -13.074  13.14 -13.216
   60  14.99 -13.031  13.18 -13.123  12.32 -13.011  12.07 -13.075  13.18 -13.216
   65  14.97 -13.040  13.17 -13.130  12.34 -13.017  12.10 -13.082  13.22 -13.219
   70  14.93 -13.053  13.12 -13.142  12.33 -13.029  12.09 -13.094  13.24 -13.224
   75  14.88 -13.069  13.02 -13.159  12.26 -13.047  12.04 -13.113  13.25 -13.232
   80  14.80 -13.088  12.89 -13.181  12.15 -13.072  11.95 -13.137  13.24 -13.242
   85  14.71 -13.109  12.70 -13.208  11.98 -13.103  11.81 -13.167  13.23 -13.255
   90  14.60 -13.133  12.47 -13.240  11.76 -13.139  11.62 -13.201  13.20 -13.268
   95  14.48 -13.159  12.20 -13.274  11.49 -13.179  11.40 -13.240  13.17 -13.283
  100  14.33 -13.187  11.87 -13.312  11.16 -13.224  11.14 -13.281  13.14 -13.298
  105  14.18 -13.214  11.51 -13.350  10.79 -13.270  10.85 -13.324  13.10 -13.313
  110  14.00 -13.242  11.12 -13.390  10.39 -13.318  10.54 -13.368  13.07 -13.327
  115  13.82 -13.270  10.70 -13.428   9.98 -13.365  10.23 -13.412  13.04 -13.339
  120  13.63 -13.296  10.29 -13.465   9.56 -13.410   9.92 -13.453  13.03 -13.349
  125  13.43 -13.321   9.89 -13.499   9.17 -13.452   9.64 -13.491  13.03 -13.357
  130  13.24 -13.344   9.51 -13.529   8.80 -13.490   9.39 -13.526  13.04 -13.362
  135  13.05 -13.365   9.17 -13.555   8.47 -13.523   9.18 -13.556  13.08 -13.363
  140  12.87 -13.384   8.87 -13.577   8.20 -13.551   9.03 -13.581  13.13 -13.362
  145  12.70 -13.401   8.63 -13.595   7.98 -13.575   8.92 -13.602  13.20 -13.358
  150  12.54 -13.415   8.43 -13.608   7.80 -13.594   8.86 -13.618  13.28 -13.352
  155  12.40 -13.428   8.27 -13.618   7.68 -13.609   8.85 -13.629  13.37 -13.344
  160  12.26 -13.440   8.16 -13.625   7.59 -13.621   8.88 -13.638  13.46 -13.334
  165  12.14 -13.450   8.07 -13.630   7.53 -13.630   8.94 -13.644  13.56 -13.325
  170  12.02 -13.459   8.01 -13.634   7.49 -13.638   9.01 -13.648  13.65 -13.315
