 ******************************** Static Profile ********************************
                             Exospheric Temperature

  alt           500K           700K          1000K          1500K          2400K
 (km) mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
   90  28.91  -5.466  28.91  -5.466  28.91  -5.466  28.91  -5.466  28.91  -5.466
  100  28.36  -6.245  28.36  -6.246  28.36  -6.248  28.36  -6.249  28.36  -6.251
  110  27.23  -7.003  27.25  -7.008  27.28  -7.013  27.30  -7.019  27.32  -7.024
  120  25.90  -7.665  26.03  -7.655  26.15  -7.647  26.25  -7.641  26.35  -7.636
  130  24.79  -8.176  25.11  -8.133  25.36  -8.099  25.57  -8.071  25.76  -8.047
  140  23.76  -8.574  24.28  -8.496  24.68  -8.437  25.01  -8.389  25.29  -8.347
  150  22.73  -8.899  23.49  -8.784  24.06  -8.701  24.51  -8.637  24.89  -8.582
  160  21.94  -9.137  23.19  -8.996  23.77  -8.904  24.09  -8.841  24.50  -8.777
  170  20.88  -9.417  22.30  -9.223  23.15  -9.094  23.66  -9.010  24.18  -8.938
  180  20.01  -9.676  21.41  -9.433  22.47  -9.266  23.25  -9.156  23.90  -9.075
  190  19.29  -9.910  20.66  -9.623  21.84  -9.423  22.87  -9.287  23.65  -9.193
  200  18.63 -10.123  20.05  -9.797  21.31  -9.567  22.51  -9.405  23.41  -9.297
  210  18.03 -10.318  19.51  -9.959  20.84  -9.701  22.17  -9.514  23.18  -9.391
  220  17.52 -10.501  19.03 -10.112  20.43  -9.828  21.84  -9.615  22.96  -9.475
  230  17.10 -10.678  18.57 -10.259  20.04  -9.948  21.53  -9.711  22.75  -9.553
  240  16.76 -10.853  18.16 -10.400  19.66 -10.064  21.22  -9.801  22.53  -9.624
  250  16.46 -11.029  17.79 -10.538  19.31 -10.176  20.91  -9.887  22.30  -9.691
  260  16.19 -11.195  17.47 -10.672  18.98 -10.283  20.62  -9.969  22.09  -9.754
  270  15.91 -11.357  17.19 -10.800  18.67 -10.385  20.34 -10.049  21.89  -9.815
  280  15.63 -11.516  16.94 -10.925  18.38 -10.484  20.07 -10.126  21.69  -9.873
  290  15.32 -11.672  16.71 -11.046  18.11 -10.579  19.82 -10.200  21.50  -9.928
