

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
   90  28.91  -5.466 860.48 188.00 14.572 19.168 19.745 17.823 17.389   .000
  100  28.36  -6.247 860.48 193.18 13.798 18.323 18.971 17.049 17.665   .000
  110  27.27  -7.011 860.48 236.86 13.648 17.420 18.217 16.011 17.363   .000
  120  26.10  -7.650 860.48 335.89 13.483 16.629 17.573 15.158 16.990   .000
  130  25.26  -8.112 860.48 444.11 13.357 16.095 17.096 14.528 16.668   .000
  140  24.53  -8.460 860.48 541.74 13.264 15.691 16.731 14.045 16.422   .000
  150  23.85  -8.732 860.48 616.81 13.195 15.365 16.438 13.652 16.231 11.883
  160  23.58  -8.937 860.48 671.17 13.139 15.114 16.228 13.344 16.054 11.779
  170  22.86  -9.140 860.48 710.57 13.096 14.852 15.998 13.024 15.925 11.704
  180  22.07  -9.326 860.48 739.76 13.060 14.605 15.776 12.722 15.811 11.650
  190  21.38  -9.496 860.48 761.92 13.027 14.377 15.570 12.442 15.701 11.609
  200  20.79  -9.652 860.48 779.12 12.996 14.164 15.379 12.181 15.592 11.579
  210  20.30  -9.797 860.48 792.69 12.967 13.963 15.199 11.931 15.485 11.556
  220  19.85  -9.934 860.48 803.54 12.939 13.768 15.026 11.688 15.380 11.539
  230  19.44 -10.065 860.48 812.33 12.912 13.577 14.858 11.450 15.279 11.526
  240  19.04 -10.191 860.48 819.49 12.887 13.387 14.691 11.214 15.180 11.516
  250  18.67 -10.314 860.48 825.39 12.863 13.197 14.524 10.979 15.082 11.507
  260  18.33 -10.431 860.48 830.27 12.848 13.012 14.361 10.748 14.986 11.501
  270  18.02 -10.544 860.48 834.34 12.825 12.829 14.201 10.520 14.893 11.498
  280  17.74 -10.653 860.48 837.75 12.798 12.647 14.042 10.294 14.802 11.496
  290  17.48 -10.758 860.48 840.63 12.771 12.468 13.885 10.070 14.712 11.495
  300  17.25 -10.861 860.48 843.06 12.745 12.289 13.729  9.847 14.623 11.495
  310  17.04 -10.961 860.48 845.13 12.719 12.112 13.573  9.626 14.534 11.496
  320  16.85 -11.059 860.48 846.90 12.695 11.936 13.419  9.406 14.446 11.498
  330  16.67 -11.156 860.48 848.42 12.672 11.760 13.265  9.187 14.359 11.501
  340  16.50 -11.251 860.48 849.73 12.650 11.586 13.112  8.969 14.271 11.504
  350  16.35 -11.344 860.48 850.86 12.628 11.412 12.960  8.752 14.184 11.507
  360  16.20 -11.437 860.48 851.85 12.607 11.239 12.808  8.536 14.097 11.511
  370  16.05 -11.528 860.48 852.71 12.585 11.066 12.657  8.321 14.011 11.516
  380  15.90 -11.618 860.48 853.46 12.564 10.894 12.507  8.106 13.925 11.520
  390  15.75 -11.706 860.48 854.12 12.543 10.723 12.357  7.893 13.839 11.525
  400  15.60 -11.794 860.48 854.70 12.521 10.553 12.208  7.680 13.753 11.530
  410  15.44 -11.881 860.48 855.22 12.500 10.383 12.059  7.468 13.668 11.535
  420  15.26 -11.968 860.48 855.68 12.479 10.214 11.911  7.257 13.583 11.541
  430  15.08 -12.053 860.48 856.09 12.458 10.045 11.764  7.047 13.499 11.546
  440  14.88 -12.137 860.48 856.45 12.437  9.877 11.617  6.837 13.415 11.552
  450  14.66 -12.221 860.48 856.78 12.416  9.710 11.470  6.629 13.331 11.557
  460  14.42 -12.304 860.48 857.07 12.395  9.543 11.324  6.420 13.248 11.563
  470  14.17 -12.385 860.48 857.33 12.374  9.377 11.179  6.213 13.165 11.569
  480  13.88 -12.466 860.48 857.57 12.353  9.212 11.034  6.006 13.082 11.575
