

 ******************************** Dynamic Model *********************************
  F10.7 = 100.00, Fbar = 100.00, Kp = 5.0, Right ascension (deg) =    .00
, Greenwich Sideral Time (rad) =    5.122 Altitude (km) = 600.00
, Modified Julian Date = 22476., UTC (s) =      .000

                                 Latitude (deg) 
 SunRA     -60            -30              0             30             60
  deg mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
 -180  11.07 -13.317  10.33 -13.428  10.08 -13.463  10.33 -13.428  11.07 -13.317
 -175  11.04 -13.322  10.27 -13.437  10.01 -13.473  10.27 -13.437  11.04 -13.322
 -170  11.02 -13.326  10.22 -13.443   9.96 -13.480  10.22 -13.443  11.02 -13.326
 -165  11.00 -13.328  10.19 -13.448   9.92 -13.486  10.19 -13.448  11.00 -13.328
 -160  10.99 -13.330  10.16 -13.452   9.89 -13.491  10.16 -13.452  10.99 -13.330
 -155  10.98 -13.332  10.14 -13.455   9.86 -13.494  10.14 -13.455  10.98 -13.332
 -150  10.97 -13.333  10.13 -13.456   9.85 -13.495  10.13 -13.456  10.97 -13.333
 -145  10.97 -13.333  10.13 -13.457   9.85 -13.496  10.13 -13.457  10.97 -13.333
 -140  10.97 -13.333  10.13 -13.457   9.84 -13.496  10.13 -13.457  10.97 -13.333
 -135  10.97 -13.333  10.13 -13.457   9.84 -13.496  10.13 -13.457  10.97 -13.333
 -130  10.97 -13.333  10.13 -13.457   9.85 -13.496  10.13 -13.457  10.97 -13.333
 -125  10.97 -13.333  10.13 -13.456   9.85 -13.495  10.13 -13.456  10.97 -13.333
 -120  10.98 -13.332  10.14 -13.455   9.86 -13.494  10.14 -13.455  10.98 -13.332
 -115  10.99 -13.330  10.16 -13.452   9.89 -13.491  10.16 -13.452  10.99 -13.330
 -110  11.00 -13.328  10.19 -13.448   9.92 -13.486  10.19 -13.448  11.00 -13.328
 -105  11.02 -13.325  10.23 -13.442   9.97 -13.479  10.23 -13.442  11.02 -13.325
 -100  11.05 -13.320  10.29 -13.434  10.04 -13.470  10.29 -13.434  11.05 -13.320
  -95  11.09 -13.315  10.36 -13.424  10.12 -13.458  10.36 -13.424  11.09 -13.315
  -90  11.14 -13.307  10.45 -13.411  10.23 -13.443  10.45 -13.411  11.14 -13.307
  -85  11.19 -13.299  10.56 -13.395  10.35 -13.425  10.56 -13.395  11.19 -13.299
  -80  11.26 -13.289  10.68 -13.377  10.50 -13.404  10.68 -13.377  11.26 -13.289
  -75  11.33 -13.277  10.82 -13.356  10.66 -13.380  10.82 -13.356  11.33 -13.277
  -70  11.41 -13.264  10.97 -13.333  10.84 -13.353  10.97 -13.333  11.41 -13.264
  -65  11.50 -13.249  11.14 -13.307  11.04 -13.323  11.14 -13.307  11.50 -13.249
  -60  11.60 -13.233  11.31 -13.279  11.24 -13.291  11.31 -13.279  11.60 -13.233
  -55  11.70 -13.216  11.50 -13.250  11.45 -13.257  11.50 -13.250  11.70 -13.216
  -50  11.80 -13.199  11.68 -13.219  11.66 -13.222  11.68 -13.219  11.80 -13.199
  -45  11.91 -13.180  11.87 -13.187  11.88 -13.186  11.87 -13.187  11.91 -13.180
  -40  12.01 -13.162  12.05 -13.155  12.08 -13.150  12.05 -13.155  12.01 -13.162
  -35  12.12 -13.143  12.23 -13.124  12.28 -13.113  12.23 -13.124  12.12 -13.143
  -30  12.22 -13.124  12.39 -13.092  12.47 -13.078  12.39 -13.092  12.22 -13.124
  -25  12.32 -13.106  12.55 -13.062  12.64 -13.043  12.55 -13.062  12.32 -13.106
  -20  12.41 -13.089  12.70 -13.033  12.81 -13.011  12.70 -13.033  12.41 -13.089
  -15  12.50 -13.072  12.83 -13.006  12.95 -12.980  12.83 -13.006  12.50 -13.072
  -10  12.58 -13.057  12.95 -12.980  13.08 -12.952  12.95 -12.980  12.58 -13.057
   -5  12.65 -13.043  13.05 -12.958  13.20 -12.926  13.05 -12.958  12.65 -13.043
    0  12.71 -13.031  13.14 -12.938  13.29 -12.904  13.14 -12.938  12.71 -13.031
    5  12.76 -13.020  13.22 -12.920  13.38 -12.884  13.22 -12.920  12.76 -13.020
   10  12.80 -13.011  13.28 -12.906  13.44 -12.868  13.28 -12.906  12.80 -13.011
   15  12.84 -13.004  13.33 -12.895  13.49 -12.856  13.33 -12.895  12.84 -13.004
   20  12.86 -12.999  13.37 -12.886  13.53 -12.846  13.37 -12.886  12.86 -12.999
   25  12.88 -12.995  13.39 -12.881  13.56 -12.841  13.39 -12.881  12.88 -12.995
   30  12.89 -12.994  13.40 -12.879  13.56 -12.838  13.40 -12.879  12.89 -12.994
   35  12.88 -12.994  13.40 -12.879  13.56 -12.839  13.40 -12.879  12.88 -12.994
   40  12.87 -12.997  13.38 -12.883  13.55 -12.843  13.38 -12.883  12.87 -12.997
   45  12.85 -13.001  13.35 -12.890  13.52 -12.850  13.35 -12.890  12.85 -13.001
   50  12.83 -13.006  13.32 -12.899  13.48 -12.860  13.32 -12.899  12.83 -13.006
   55  12.79 -13.014  13.27 -12.910  13.42 -12.873  13.27 -12.910  12.79 -13.014
   60  12.75 -13.022  13.20 -12.924  13.36 -12.889  13.20 -12.924  12.75 -13.022
   65  12.70 -13.032  13.13 -12.940  13.28 -12.907  13.13 -12.940  12.70 -13.032
   70  12.64 -13.044  13.05 -12.959  13.19 -12.927  13.05 -12.959  12.64 -13.044
   75  12.58 -13.056  12.96 -12.979  13.09 -12.950  12.96 -12.979  12.58 -13.056
   80  12.51 -13.069  12.86 -13.000  12.98 -12.974  12.86 -13.000  12.51 -13.069
   85  12.44 -13.083  12.74 -13.023  12.86 -12.999  12.74 -13.023  12.44 -13.083
   90  12.37 -13.097  12.63 -13.047  12.73 -13.027  12.63 -13.047  12.37 -13.097
   95  12.29 -13.112  12.50 -13.072  12.59 -13.055  12.50 -13.072  12.29 -13.112
  100  12.20 -13.127  12.36 -13.098  12.44 -13.084  12.36 -13.098  12.20 -13.127
  105  12.12 -13.143  12.22 -13.124  12.28 -13.113  12.22 -13.124  12.12 -13.143
  110  12.03 -13.158  12.08 -13.150  12.12 -13.143  12.08 -13.150  12.03 -13.158
  115  11.95 -13.174  11.93 -13.176  11.95 -13.173  11.93 -13.176  11.95 -13.174
