 ******************************** Static Profile ********************************
                             Exospheric Temperature

  alt           500K           700K          1000K          1500K          2400K
 (km) mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty mmolms logdsty
   90  28.83  -5.461  28.83  -5.461  28.83  -5.461  28.83  -5.461  28.83  -5.461
  100  27.64  -6.254  27.64  -6.256  27.64  -6.259  27.64  -6.262  27.64  -6.265
  110  26.47  -7.001  26.52  -7.002  26.56  -7.003  26.60  -7.004  26.64  -7.006
  120  25.10  -7.648  25.29  -7.629  25.45  -7.613  25.60  -7.599  25.74  -7.585
  130  23.74  -8.164  24.15  -8.113  24.48  -8.073  24.76  -8.042  24.88  -8.030
  140  22.48  -8.570  23.13  -8.480  23.64  -8.413  24.07  -8.363  24.31  -8.335
  150  21.34  -8.907  22.21  -8.778  22.90  -8.681  23.48  -8.609  23.84  -8.563
  160  20.33  -9.198  21.38  -9.030  22.23  -8.904  22.95  -8.810  23.43  -8.745
  170  19.46  -9.457  20.63  -9.252  21.63  -9.097  22.47  -8.981  23.07  -8.897
  180  18.73  -9.692  19.97  -9.451  21.07  -9.268  22.03  -9.130  22.74  -9.028
  190  18.11  -9.907  19.38  -9.632  20.56  -9.423  21.63  -9.263  22.43  -9.143
  200  17.59 -10.109  18.87  -9.800  20.10  -9.564  21.25  -9.383  22.15  -9.246
  210  17.15 -10.299  18.42  -9.957  19.67  -9.696  20.89  -9.493  21.88  -9.339
  220  16.77 -10.480  18.03 -10.105  19.28  -9.818  20.56  -9.596  21.63  -9.425
  230  16.44 -10.654  17.69 -10.246  18.93  -9.935  20.25  -9.692  21.39  -9.504
  240  16.12 -10.822  17.39 -10.381  18.61 -10.045  19.96  -9.782  21.16  -9.578
  250  15.79 -10.986  17.13 -10.511  18.31 -10.150  19.68  -9.868  20.95  -9.647
  260  15.44 -11.146  16.91 -10.637  18.05 -10.251  19.42  -9.949  20.74  -9.713
  270  15.04 -11.304  16.72 -10.759  17.80 -10.349  19.18 -10.028  20.54  -9.775
  280  14.58 -11.458  16.54 -10.879  17.59 -10.443  18.95 -10.103  20.35  -9.834
  290  14.02 -11.611  16.38 -10.996  17.39 -10.535  18.74 -10.175  20.17  -9.891
  300  13.35 -11.761  16.24 -11.110  17.21 -10.624  18.53 -10.245  19.99  -9.946
  310  12.56 -11.909  16.10 -11.223  17.05 -10.711  18.34 -10.313  19.82  -9.999
  320  11.66 -12.054  15.97 -11.335  16.90 -10.797  18.17 -10.379  19.66 -10.049
  330  10.65 -12.197  15.83 -11.445  16.76 -10.880  18.00 -10.444  19.50 -10.099
  340   9.57 -12.338  15.69 -11.553  16.63 -10.963  17.84 -10.507  19.35 -10.147
  350   8.46 -12.474  15.54 -11.661  16.52 -11.043  17.69 -10.568  19.21 -10.193
  360   7.36 -12.607  15.38 -11.767  16.41 -11.123  17.55 -10.629  19.07 -10.238
  370   6.33 -12.736  15.20 -11.873  16.31 -11.202  17.42 -10.688  18.93 -10.283
  380   5.40 -12.858  15.00 -11.977  16.21 -11.279  17.30 -10.746  18.80 -10.326
  390   4.59 -12.975  14.78 -12.081  16.11 -11.356  17.19 -10.803  18.68 -10.368
  400   3.90 -13.083  14.53 -12.184  16.02 -11.432  17.08 -10.859  18.55 -10.410
  410   3.34 -13.184  14.24 -12.285  15.93 -11.508  16.98 -10.914  18.44 -10.450
  420   2.88 -13.276  13.92 -12.386  15.84 -11.582  16.88 -10.969  18.33 -10.490
  430   2.52 -13.358  13.57 -12.486  15.75 -11.656  16.79 -11.023  18.22 -10.530
  440   2.24 -13.431  13.17 -12.585  15.65 -11.730  16.70 -11.076  18.12 -10.568
  450   2.01 -13.496  12.73 -12.682  15.55 -11.802  16.62 -11.128  18.02 -10.606
  460   1.84 -13.552  12.26 -12.778  15.44 -11.875  16.54 -11.180  17.92 -10.644
  470   1.71 -13.601  11.76 -12.873  15.33 -11.946  16.47 -11.232  17.83 -10.681
  480   1.60 -13.643  11.22 -12.966  15.21 -12.018  16.40 -11.283  17.74 -10.717
  490   1.52 -13.680  10.66 -13.057  15.09 -12.088  16.33 -11.333  17.65 -10.753
  500   1.45 -13.712  10.09 -13.147  14.95 -12.159  16.26 -11.383  17.57 -10.789
  510   1.40 -13.740   9.51 -13.234  14.80 -12.228  16.19 -11.433  17.49 -10.824
  520   1.36 -13.766   8.93 -13.319  14.64 -12.298  16.13 -11.482  17.41 -10.858
  530   1.32 -13.789   8.37 -13.401  14.47 -12.366  16.07 -11.531  17.34 -10.893
  540   1.30 -13.810   7.82 -13.481  14.29 -12.435  16.00 -11.580  17.27 -10.927
  550   1.27 -13.829   7.30 -13.558  14.09 -12.502  15.94 -11.628  17.20 -10.960
  560   1.25 -13.847   6.82 -13.631  13.87 -12.570  15.88 -11.676  17.13 -10.993
  570   1.23 -13.864   6.36 -13.702  13.65 -12.636  15.82 -11.723  17.07 -11.026
  580   1.22 -13.880   5.95 -13.769  13.40 -12.703  15.75 -11.770  17.01 -11.059
  590   1.20 -13.895   5.57 -13.832  13.14 -12.768  15.69 -11.817  16.95 -11.091
  600   1.19 -13.910   5.24 -13.893  12.87 -12.833  15.62 -11.864  16.89 -11.123
  610   1.18 -13.925   4.93 -13.949  12.58 -12.897  15.55 -11.910  16.84 -11.155
  620   1.17 -13.938   4.67 -14.003  12.28 -12.961  15.49 -11.956  16.78 -11.187
  630   1.16 -13.952   4.43 -14.053  11.97 -13.023  15.41 -12.002  16.73 -11.218
  640   1.15 -13.965   4.22 -14.100  11.64 -13.085  15.34 -12.048  16.68 -11.249
  650   1.14 -13.978   4.03 -14.145  11.31 -13.146  15.26 -12.093  16.63 -11.280
  660   1.13 -13.990   3.87 -14.186  10.97 -13.207  15.18 -12.138  16.58 -11.310
  670   1.13 -14.002   3.73 -14.225  10.62 -13.266  15.10 -12.183  16.53 -11.341
  680   1.12 -14.014   3.60 -14.262  10.27 -13.324  15.01 -12.227  16.49 -11.371
  690   1.11 -14.026   3.49 -14.297   9.92 -13.381  14.92 -12.272  16.44 -11.401
  700   1.11 -14.038   3.39 -14.330   9.57 -13.437  14.83 -12.316  16.40 -11.431
  710   1.10 -14.049   3.30 -14.361   9.23 -13.492  14.73 -12.359  16.36 -11.460
  720   1.10 -14.060   3.22 -14.391   8.89 -13.546  14.63 -12.403  16.32 -11.490
  730   1.09 -14.071   3.15 -14.420   8.55 -13.599  14.52 -12.446  16.28 -11.519
  740   1.09 -14.082   3.09 -14.447   8.23 -13.650  14.40 -12.490  16.24 -11.548
  750   1.08 -14.093   3.03 -14.474   7.92 -13.700  14.28 -12.532  16.20 -11.577
  760   1.08 -14.103   2.97 -14.499   7.62 -13.748  14.16 -12.575  16.16 -11.606
  770   1.08 -14.113   2.92 -14.524   7.34 -13.795  14.03 -12.617  16.12 -11.634
  780   1.07 -14.124   2.87 -14.548   7.07 -13.841  13.90 -12.659  16.08 -11.663
  790   1.07 -14.134   2.83 -14.571   6.81 -13.885  13.76 -12.701  16.04 -11.691
  800   1.07 -14.144   2.79 -14.594   6.57 -13.928  13.61 -12.743  16.00 -11.719
  810   1.06 -14.154   2.75 -14.616   6.34 -13.969  13.46 -12.784  15.97 -11.747
  820   1.06 -14.163   2.71 -14.638   6.13 -14.009  13.30 -12.825  15.93 -11.775
  830   1.06 -14.173   2.67 -14.659   5.94 -14.047  13.14 -12.866  15.89 -11.802
  840   1.05 -14.182   2.63 -14.680   5.76 -14.084  12.97 -12.906  15.85 -11.830
  850   1.05 -14.192   2.60 -14.701   5.59 -14.120  12.80 -12.946  15.82 -11.857
  860   1.05 -14.201   2.57 -14.722   5.43 -14.154  12.62 -12.986  15.78 -11.885
  870   1.05 -14.210   2.53 -14.742   5.29 -14.186  12.43 -13.026  15.74 -11.912
  880   1.05 -14.220   2.50 -14.761   5.16 -14.218  12.24 -13.065  15.70 -11.939
  890   1.04 -14.229   2.47 -14.781   5.04 -14.248  12.05 -13.104  15.66 -11.966
  900   1.04 -14.238   2.44 -14.800   4.93 -14.277  11.85 -13.142  15.62 -11.992
  910   1.04 -14.247   2.41 -14.819   4.83 -14.306  11.65 -13.181  15.58 -12.019
  920   1.04 -14.255   2.38 -14.838   4.74 -14.333  11.45 -13.218  15.54 -12.046
  930   1.04 -14.264   2.35 -14.857   4.66 -14.359  11.24 -13.256  15.50 -12.072
  940   1.04 -14.273   2.32 -14.875   4.58 -14.384  11.03 -13.293  15.46 -12.098
  950   1.03 -14.281   2.29 -14.894   4.51 -14.408  10.82 -13.330  15.42 -12.124
  960   1.03 -14.290   2.26 -14.912   4.45 -14.431  10.61 -13.366  15.37 -12.150
  970   1.03 -14.298   2.23 -14.930   4.39 -14.454  10.40 -13.402  15.33 -12.176
  980   1.03 -14.307   2.20 -14.947   4.34 -14.476  10.18 -13.437  15.29 -12.202
  990   1.03 -14.315   2.18 -14.965   4.29 -14.497   9.97 -13.472  15.24 -12.228
 1000   1.03 -14.324   2.15 -14.982   4.25 -14.518   9.76 -13.507  15.19 -12.254
 1010   1.03 -14.332   2.12 -14.999   4.21 -14.538   9.55 -13.541  15.15 -12.279
 1020   1.03 -14.340   2.10 -15.016   4.18 -14.558   9.34 -13.574  15.10 -12.304
 1030   1.02 -14.348   2.07 -15.033   4.14 -14.577   9.13 -13.607  15.05 -12.330
 1040   1.02 -14.356   2.04 -15.049   4.11 -14.596   8.92 -13.640  15.00 -12.355
 1050   1.02 -14.364   2.02 -15.066   4.09 -14.614   8.72 -13.672  14.95 -12.380
 1060   1.02 -14.373   1.99 -15.082   4.06 -14.632   8.52 -13.704  14.89 -12.405
 1070   1.02 -14.381   1.97 -15.098   4.04 -14.650   8.33 -13.735  14.84 -12.430
 1080   1.02 -14.388   1.95 -15.114   4.02 -14.667   8.14 -13.766  14.78 -12.455
 1090   1.02 -14.396   1.92 -15.129   4.00 -14.684   7.96 -13.796  14.72 -12.479
 1100   1.02 -14.404   1.90 -15.145   3.98 -14.701   7.77 -13.825  14.67 -12.504
 1110   1.02 -14.412   1.88 -15.160   3.96 -14.718   7.60 -13.854  14.61 -12.528
 1120   1.02 -14.420   1.85 -15.175   3.95 -14.734   7.43 -13.882  14.55 -12.553
 1130   1.02 -14.428   1.83 -15.190   3.93 -14.750   7.26 -13.910  14.48 -12.577
 1140   1.02 -14.435   1.81 -15.205   3.92 -14.766   7.10 -13.938  14.42 -12.601
 1150   1.02 -14.443   1.79 -15.219   3.91 -14.782   6.95 -13.964  14.35 -12.625
 1160   1.02 -14.451   1.77 -15.234   3.90 -14.798   6.80 -13.991  14.28 -12.649
 1170   1.02 -14.458   1.75 -15.248   3.88 -14.813   6.66 -14.016  14.22 -12.673
 1180   1.02 -14.466   1.73 -15.262   3.87 -14.828   6.52 -14.041  14.15 -12.697
 1190   1.02 -14.473   1.71 -15.276   3.86 -14.844   6.39 -14.066  14.07 -12.720
 1200   1.02 -14.481   1.69 -15.289   3.85 -14.859   6.27 -14.090  14.00 -12.744
 1210   1.01 -14.488   1.67 -15.303   3.85 -14.874   6.14 -14.113  13.92 -12.767
 1220   1.01 -14.496   1.65 -15.316   3.84 -14.889   6.03 -14.136  13.85 -12.790
 1230   1.01 -14.503   1.63 -15.329   3.83 -14.903   5.92 -14.158  13.77 -12.814
 1240   1.01 -14.511   1.62 -15.342   3.82 -14.918   5.81 -14.180  13.69 -12.837
 1250   1.01 -14.518   1.60 -15.355   3.81 -14.933   5.71 -14.201  13.61 -12.860
 1260   1.01 -14.526   1.58 -15.368   3.80 -14.947   5.62 -14.222  13.52 -12.883
 1270   1.01 -14.533   1.57 -15.380   3.80 -14.961   5.53 -14.243  13.44 -12.905
 1280   1.01 -14.540   1.55 -15.393   3.79 -14.976   5.44 -14.262  13.35 -12.928
 1290   1.01 -14.547   1.54 -15.405   3.78 -14.990   5.36 -14.282  13.26 -12.950
 1300   1.01 -14.555   1.52 -15.417   3.77 -15.004   5.28 -14.300  13.17 -12.973
 1310   1.01 -14.562   1.51 -15.428   3.77 -15.018   5.21 -14.319  13.08 -12.995
 1320   1.01 -14.569   1.49 -15.440   3.76 -15.032   5.14 -14.337  12.99 -13.017
