

 ************************** Static Model - Solar Cycle **************************
                           F10.7 = 100.00 Fbar = 100.00

  Alt MMolMs LogDsty ExTemp LcTemp NMolHe NMolO2 NMolN2 NMolAr NMmolO  NMolH
   90  28.83  -5.461 703.00 183.00 14.646 19.169 19.750 17.828 17.823  2.823
  100  27.64  -6.256 703.00 191.70 13.850 18.271 18.954 17.032 18.042  3.042
  110  26.52  -7.002 703.00 230.03 13.706 17.426 18.206 15.998 17.580  3.042
  120  25.29  -7.629 703.00 300.87 13.558 16.705 17.560 15.127 17.161  3.042
  130  24.15  -8.112 703.00 384.98 13.434 16.137 17.049 14.444 16.823 12.064
  140  23.14  -8.479 703.00 453.63 13.343 15.691 16.650 13.905 16.565 11.981
  150  22.22  -8.776 703.00 507.32 13.272 15.317 16.316 13.450 16.354 11.922
  160  21.39  -9.028 703.00 549.33 13.213 14.987 16.023 13.046 16.171 11.878
  170  20.65  -9.250 703.00 582.24 13.163 14.687 15.757 12.678 16.009 11.844
  180  19.99  -9.448 703.00 608.02 13.119 14.407 15.510 12.334 15.859 11.817
  190  19.40  -9.629 703.00 628.25 13.079 14.143 15.276 12.007 15.720 11.795
  200  18.88  -9.797 703.00 644.13 13.042 13.889 15.053 11.693 15.588 11.777
  210  18.43  -9.953 703.00 656.60 13.007 13.645 14.838 11.390 15.461 11.761
  220  18.04 -10.101 703.00 666.40 12.974 13.406 14.629 11.094 15.339 11.747
  230  17.70 -10.242 703.00 674.11 12.942 13.173 14.424 10.804 15.220 11.735
  240  17.40 -10.376 703.00 680.18 12.912 12.944 14.223 10.520 15.104 11.724
  250  17.15 -10.506 703.00 684.96 12.882 12.719 14.025 10.239 14.989 11.714
  260  16.92 -10.632 703.00 688.73 12.853 12.496 13.830  9.961 14.877 11.705
  270  16.73 -10.754 703.00 691.71 12.825 12.275 13.636  9.686 14.765 11.696
  280  16.55 -10.873 703.00 694.05 12.796 12.056 13.444  9.413 14.655 11.688
  290  16.40 -10.989 703.00 695.91 12.769 11.839 13.254  9.142 14.546 11.680
  300  16.25 -11.104 703.00 697.37 12.741 11.623 13.065  8.873 14.438 11.672
  310  16.11 -11.216 703.00 698.53 12.714 11.409 12.877  8.605 14.330 11.665
  320  15.98 -11.327 703.00 699.45 12.687 11.195 12.690  8.339 14.223 11.657
  330  15.84 -11.437 703.00 700.18 12.660 10.983 12.504  8.074 14.117 11.650
  340  15.70 -11.545 703.00 700.76 12.634 10.771 12.319  7.810 14.011 11.643
  350  15.56 -11.652 703.00 701.21 12.607 10.561 12.135  7.547 13.905 11.636
  360  15.40 -11.758 703.00 701.58 12.581 10.351 11.951  7.285 13.800 11.629
  370  15.22 -11.863 703.00 701.87 12.555 10.142 11.768  7.024 13.696 11.623
  380  15.03 -11.967 703.00 702.10 12.528  9.933 11.585  6.764 13.591 11.616
  390  14.81 -12.071 703.00 702.28 12.502  9.726 11.404  6.505 13.487 11.609
  400  14.56 -12.173 703.00 702.42 12.476  9.519 11.222  6.246 13.384 11.603
  410  14.29 -12.274 703.00 702.54 12.451  9.313 11.042  5.989 13.281 11.596
  420  13.97 -12.375 703.00 702.63 12.425  9.107 10.862  5.732 13.178 11.590
  430  13.62 -12.474 703.00 702.71 12.399  8.902 10.682  5.476 13.075 11.583
  440  13.24 -12.573 703.00 702.76 12.374  8.698 10.503  5.221 12.973 11.577
  450  12.81 -12.670 703.00 702.81 12.348  8.494 10.325  4.967 12.871 11.570
  460  12.35 -12.766 703.00 702.85 12.323  8.291 10.147  4.713 12.770 11.564
  470  11.85 -12.860 703.00 702.88 12.297  8.088  9.970  4.460 12.668 11.557
  480  11.33 -12.953 703.00 702.90 12.272  7.886  9.793  4.208 12.567 11.551
  490  10.77 -13.044 703.00 702.92 12.247  7.685  9.617  3.957 12.467 11.545
  500  10.21 -13.133 703.00 702.94 12.222  7.484  9.441  3.706 12.366 11.538
  510   9.63 -13.221 703.00 702.95 12.197  7.284  9.266  3.457 12.266 11.532
  520   9.06 -13.306 703.00 702.96 12.172  7.085  9.091  3.207 12.167 11.526
  530   8.49 -13.388 703.00 702.97 12.147  6.886  8.917  2.959 12.067 11.519
  540   7.95 -13.468 703.00 702.97 12.122  6.687  8.743  2.711 11.968 11.513
  550   7.43 -13.545 703.00 702.98 12.097  6.489  8.570  2.464 11.869 11.507
  560   6.94 -13.619 703.00 702.98 12.073  6.292  8.398  2.218 11.770 11.501
  570   6.48 -13.689 703.00 702.99 12.048  6.096  8.225  1.973 11.672 11.495
  580   6.06 -13.757 703.00 702.99 12.024  5.899  8.054  1.728 11.574 11.488
  590   5.68 -13.821 703.00 702.99 11.999  5.704  7.883  1.484 11.476 11.482
  600   5.34 -13.882 703.00 702.99 11.975  5.509  7.712  1.240 11.379 11.476
  610   5.03 -13.939 703.00 702.99 11.950  5.315  7.542   .998 11.282 11.470
  620   4.75 -13.993 703.00 703.00 11.926  5.121  7.372   .756 11.185 11.464
  630   4.51 -14.044 703.00 703.00 11.902  4.927  7.203   .514 11.088 11.458
  640   4.29 -14.092 703.00 703.00 11.878  4.735  7.034   .274 10.992 11.452
  650   4.10 -14.136 703.00 703.00 11.854  4.543  6.866   .034 10.896 11.446
  660   3.94 -14.179 703.00 703.00 11.830  4.351  6.698  -.205 10.800 11.440
  670   3.79 -14.218 703.00 703.00 11.806  4.160  6.531  -.444 10.704 11.434
  680   3.66 -14.256 703.00 703.00 11.782  3.969  6.364  -.682 10.609 11.428
  690   3.54 -14.291 703.00 703.00 11.758  3.779  6.198  -.919 10.514 11.422
  700   3.44 -14.324 703.00 703.00 11.735  3.590  6.032 -1.156 10.419 11.416
  710   3.35 -14.356 703.00 703.00 11.711  3.401  5.866 -1.391 10.325 11.410
  720   3.27 -14.386 703.00 703.00 11.687  3.212  5.701 -1.627 10.231 11.404
  730   3.20 -14.415 703.00 703.00 11.664  3.025  5.537 -1.861 10.137 11.398
  740   3.13 -14.442 703.00 703.00 11.641  2.837  5.373 -2.095 10.043 11.392
  750   3.07 -14.469 703.00 703.00 11.617  2.650  5.209 -2.328  9.950 11.386
  760   3.01 -14.495 703.00 703.00 11.594  2.464  5.046 -2.561  9.856 11.380
  770   2.96 -14.520 703.00 703.00 11.571  2.278  4.884 -2.793  9.764 11.374
  780   2.91 -14.544 703.00 703.00 11.547  2.093  4.721 -3.024  9.671 11.368
  790   2.87 -14.567 703.00 703.00 11.524  1.908  4.560 -3.255  9.579 11.363
  800   2.83 -14.590 703.00 703.00 11.501  1.724  4.398 -3.485  9.486 11.357
  810   2.79 -14.612 703.00 703.00 11.478  1.541  4.238 -3.714  9.395 11.351
  820   2.75 -14.634 703.00 703.00 11.455  1.357  4.077 -3.943  9.303 11.345
  830   2.71 -14.656 703.00 703.00 11.433  1.175  3.917 -4.171  9.212 11.340
  840   2.67 -14.677 703.00 703.00 11.410   .993  3.758 -4.398  9.121 11.334
